TIC,Orbital Period Value,Orbital Period Error,Orbital Epoch Value,Full TOI ID,Group Disposition,Public Comment
176860064,6.375556,0.0007,1766.359365,1457.01,PC,No information on the star; V-shaped
236887394,1.420035,2.5e-05,1766.00669,1465.01,KP,Qatar-1 b
427654774,5.222621,0.001436,1765.042474,1474.01,PC,3-sigma centroid offset towards another star.
237086564,1.871529,0.000393,1766.255274,1466.01,PC,potential L1 candidate
240968774,5.973384,0.001413,1766.983728,1467.01,PC,
431514478,8.495351,0.00127,1767.618296,1475.01,PC,Significant scattered light; only two transits; period could be doubled; second transit deeper than the first one; low priority
243185500,15.531925,0.002694,1766.928147,1468.01,PC,possible multi
16920150,9.155934,0.003159,1765.545981,1459.01,PC,
243185500,1.880305,0.000266,1765.678776,1468.02,PC,Centroid offset; but not towards a particular star; possible multi
17005768,6.842651,0.000476,1765.265174,1460.01,PC,There is a positive flare-like feature following the transit events
44631965,3.568678,0.00015,1767.317052,1461.01,PC,
283722336,3.093132,0.000227,1957.715857,1469.01,KP,HD 219134 b
283722336,6.765434,0.000647,1766.169322,1469.02,KP,HD 219134 c
284441182,2.527153,0.00056,1766.468765,1470.01,PC,crowded field; level 1 candidate
432549364,1.217509,2.8e-05,1765.533801,1476.01,KP,KELT 1b
306263608,20.772024,0.005211,1767.42,1471.01,PC,Likely multi-planet system; centroid offset not significant
306955329,6.364103,0.000996,1765.605845,1472.01,PC,
188768068,2.178256,0.000674,1766.049031,1462.01,PC,Small planet candidate in a system with RV planets
190998418,2.879303,0.000173,1764.891401,1463.01,KP,Qatar-5 b
352413427,5.255294,0.001298,1769.784413,1473.01,PC,Level 1
229944666,11.327525,0.00782,1772.647511,1464.01,PC,Diff image failed for most sectors. 
191284318,2.77598,0.00011,1766.82154,1458.01,KP,HAT-P-16 b
240681314,2.732681,0.000116,1765.648866,1477.01,KP,WASP-93 b
409794137,10.18708,,1495.91645,1478.01,PC,
67309890,1.16237,0.00022,1739.46756,1484.01,PC,
410528770,2.75347,0.00025,1740.81598,1502.01,PC,V-shaped and some odd-even
177244357,6.54692,0.00492,1768.84707,1538.01,PC,Low priority; other very long transit-like features in the raw light curve; period could be double
202375913,5.06203,0.00128,1768.23572,1527.01,PC,
428065977,1.65445,0.00067,1739.14094,1503.01,PC,Potential level 1 candidate
15692883,5.14124,0.00096,1764.8563,1493.01,PC,
411608801,5.02647,0.00042,1765.60356,1494.01,PC,
252636888,2.58929,0.00086,1740.57198,1539.01,PC,Crowded field; some centroid offset
376637093,2.05603,1e-05,1765.32531,1516.01,PC,TOI 1516; TFOP investigation ongoing
326114850,1.24564,0.00017,1739.37807,1504.01,PC,Potential level 1 candidate
285543785,9.93856,0.00062,1772.16702,1528.01,PC,No stellar information
241065596,1.62315,8e-05,1765.12677,1550.01,PC,
455962313,4.51083,0.0006,1766.04222,1517.01,PC,Retired as TFOP NEB FP; no stellar parameters; could be twice the period
312259170,0.8229,3e-05,1764.94054,1529.01,PC,Some odd-even
288348498,1.67546,0.00029,1765.11138,1551.01,PC,
427761355,1.90261,1e-05,1766.1206,1518.01,PC,
331034236,3.42985,0.0012,1740.69491,1505.01,PC,Some odd-even
312469860,0.50261,2e-05,1764.79362,1530.01,PC,Significant secondary; likely EB; Slight depth-aperture correlation; variable star
326919774,7.57193,0.00278,1771.77219,1552.01,PC,Variable star
312678993,0.51731,1e-05,1765.07197,1531.01,PC,check neighbors; likely nearby binary system
327341626,5.93815,0.00033,1768.407,1553.01,PC,Could be on 327341633
272049972,1.09589,3e-05,1765.3297,1519.01,PC,
318746829,5.23121,0.00326,1769.3971,1540.01,PC,TFOP NEB; possible secondary; Gaia parameters suggest star is a giant
269238073,6.15501,0.00268,1766.00953,1520.01,PC,Slight depth-aperture correlation
252616865,5.71204,0.00012,1741.28555,1482.01,PC,
459978312,23.28798,0.00355,1684.88739,1487.01,PC,Likely FP around evolved star
319068154,3.79738,0.00089,1767.31768,1541.01,PC,Slight depth-aperture correlation; transit looks asymmetric
366074069,4.18106,0.00012,1768.08864,1521.01,PC,Match to 366074071
367607434,8.2916,0.00371,1744.44353,1542.01,PC,Low priority; single odd transit; period may be double
327579226,8.90592,0.00045,1771.78488,1532.01,PC, x and y shift during transit; TIC match 327579262
64836837,10.91188,0.00142,1742.68672,1506.01,PC,Likely Jupiter sized
345143460,3.6462,0.00142,1765.70813,1533.01,PC,Single transit-like feature at 1782
