#TIC ID,CTOI,MASTER,SG1A,SG1B,SG2,SG3,SG4,SG5,User Disposition,TFOPWG Disposition,TESS Mag,TESS Mag err,RA,Dec,PM RA (mas/yr),PM RA err (mas/yr),PM Dec (mas/yr),PM RA (mas/yr),Midpoint (BJD),Midpoint err,Period (days),Period (days) Error,Depth mmag,Depth mmag Error,Depth ppm,Depth ppm Error,Duration (hrs),Duration (hrs) Error,Inclination (deg),Inclination (deg) Error,Impact Param,Impact Param Error,Rad_p/Rad_s,Rad_p/Rad_s Error,a/Rad_s,a/Rad_s Error,Radius (R_Earth),Radius (R_Earth) Error,Mass (M_Earth),Mass (M_Earth) Error,Insolation (Earth Flux),Insolation (Earth Flux) Error,Equilibrium Temp (K),Equilibrium Temp (K) Error,Fitted Stellar Density (g/cm^3),Fitted Stellar Density (g/cm^3) Error,Semi-Major Axis (AU),Semi-Major Axis (AU) Error,Eccentricity,Eccentricity (Error),Arg of Periastron,Arg of Periastron Error,Time of Periastron (BJD),Time of Periastron (BJD) Error,Velocity Semi-amp (m/s),Velocity Semi-amp (m/s) Error,Stellar Distance (pc),Stellar Distance (pc) err,Stellar Eff Temp (K),Stellar Eff Temp (K) err,Stellar log(g) (cm/s^2),Stellar log(g) (cm/s^2) err,Stellar Radius (R_Sun),Stellar Radius (R_Sun) err,CTOI lastmod,User,Group,Tag,Notes
7422496,7422496.01,,,,,,,,PC,,8.7601,0.006,81.348892,-44.431285,-44.098,0.042,-110.328,0.051,2458470.354,.05,0,,0.760281,0.32577,700,300,5.9,1,,,,,,,,,2.4,1,,,,,,,,,,,,,,,,,,,69.6026,.1272,5744,117.134,4.56261,.0761973,.879321,.0413869,2020-01-24 10:25:52,eisner,,15948,"Planet Hunters TESS candidate. Single transit event."
8963901,8963901.01,,,,,,,,PC,,11.2163,0.015,354.637088,-9.318778,9.894,0.091,-8.363,0.057,2458354.2775,,0.4847222,,157.14947,,134752.781321882,,1.86666666666667,,,,,,,,,,200.837113505247,,,,,,,,,,,,,,,,,,,,1465.31,107.12,6515,100,,,5.01577,,2019-12-29 08:24:43,lipponen,,8409,"new CTOI"
10747470,10747470.01,,,,,,,,PC,,9.72577,0.006,212.252809,51.086496,-31.582,0.034,17.487,0.037,2458739.4155,,1.977093,0.000238,0.292863,0.022041,269.7,20.3,2.067,0.107,,,,,,,,,3.78,.14,,,4457,,2082,,,,.0342,,,,,,,,,,275.69,2.103,6176.61,129.695,3.90825,.0859421,1.99917,.0960829,2020-01-02 17:30:45,damboiu,,8505,"Short period Neptune around a subgiant, low s2n"
24725031,24725031.01,,,,,,,,FP,,7.35422,0.006,81.517408,-10.757758,-10.45,0.14,-1.949,0.122,2458438.44,.001,0.53299,0.00015,4.133657,,3800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,236.086,3.859,12818,150,,,,,2019-09-13 13:41:57,earley,,5650,"Eclipsing binary candidate in Pisces-Eridanus stellar stream"
25078924,25078924.01,,,,,,,,PC,,10.705,0.006,60.930974,-65.972806,6.015,0.049,18.104,0.049,2458325.5091,,0.9097222,,16.723865,,15285.2256555255,,1.56666666666667,,,,,,,,,,14.434011815694,,,,,,,,,,,,,,,,,,,,228.492,1.4215,5737,131.98,4.27563,.0745082,1.21763,.0589447,2019-08-02 00:39:26,lipponen,,5065,"sector1"
25078924,25078924.02,,,,,,,,PC,,10.705,0.006,60.930974,-65.972806,6.015,0.049,18.104,0.049,2458325.9605,,0.9034722,,67.676072,,60429.0706446056,,1.7,,,,,,,,,,28.6994838889778,,,,,,,,,,,,,,,,,,,,228.492,1.4215,5737,131.98,4.27563,.0745082,1.21763,.0589447,2019-08-02 00:39:26,lipponen,,5065,"sector1"
25226885,25226885.01,,,,,,,,PC,,11.9329,0.007,326.957969,-20.235107,1.638,0.08,-12.488,0.08,2458325.8415,,1.63125,,2333.408249,,883416.604382057,,2.56666666666667,,,,,,,,,,41.1147235452682,,,,,,,,,,,,,,,,,,,,578.167,17.6165,6222,132.256,4.14893,.0860199,1.52812,.0831634,2019-06-06 03:40:31,lipponen,,3787,"sector1"
25226885,25226885.02,,,,,,,,PC,,11.9329,0.007,326.957969,-20.235107,1.638,0.08,-12.488,0.08,2458326.661,,1.630556,,4529.902496,,984581.610895565,,2.56666666666667,,,,,,,,,,14.951973716145,,,,,,,,,,,,,,,,,,,,578.167,17.6165,6222,132.256,4.14893,.0860199,1.52812,.0831634,2019-06-06 03:40:31,lipponen,,3787,"sector1"
25314899,25314899.01,,,,,,,,PC,,10.8452,0.006,351.617354,50.012001,-113.577,2.827,-57.256,1.432,2458765.6846,,3.367346,0.002634,1.092366,0.048425,1005.6,44.6,1.632,0.146,,,,,,,,,3.74,.08,,,216.6,,977,,,,.0402,,,,,,,,,,105.8117,,5143,,,,.919824,,2020-01-02 17:49:14,damboiu,,8510,"Host star is likely to be very young"
25758307,25758307.01,,,,,,,,PC,,10.9677,0.007,10.029033,26.102983,-2.557,0.064,-100.247,0.055,2458765.2912,,0.903346,0.000313,0.458277,0.041259,422,38,1.363,0.055,,,,,,,,,1.38,.07,,,329.6,,1086,,,,.01566,,,,,,,,,,57.3632,.15435,3910,157,4.66802,.0102921,.580201,.0171379,2020-01-02 17:56:09,damboiu,,8512,"USP Candidate, low s2n"
