#TIC ID,CTOI,MASTER,SG1A,SG1B,SG2,SG3,SG4,SG5,User Disposition,TFOPWG Disposition,TESS Mag,TESS Mag err,RA,Dec,PM RA (mas/yr),PM RA err (mas/yr),PM Dec (mas/yr),PM RA (mas/yr),Midpoint (BJD),Midpoint err,Period (days),Period (days) Error,Depth mmag,Depth mmag Error,Depth ppm,Depth ppm Error,Duration (hrs),Duration (hrs) Error,Inclination (deg),Inclination (deg) Error,Impact Param,Impact Param Error,Rad_p/Rad_s,Rad_p/Rad_s Error,a/Rad_s,a/Rad_s Error,Radius (R_Earth),Radius (R_Earth) Error,Mass (M_Earth),Mass (M_Earth) Error,Insolation (Earth Flux),Insolation (Earth Flux) Error,Equilibrium Temp (K),Equilibrium Temp (K) Error,Fitted Stellar Density (g/cm^3),Fitted Stellar Density (g/cm^3) Error,Semi-Major Axis (AU),Semi-Major Axis (AU) Error,Eccentricity,Eccentricity (Error),Arg of Periastron,Arg of Periastron Error,Time of Periastron (BJD),Time of Periastron (BJD) Error,Velocity Semi-amp (m/s),Velocity Semi-amp (m/s) Error,Stellar Distance (pc),Stellar Distance (pc) err,Stellar Eff Temp (K),Stellar Eff Temp (K) err,Stellar log(g) (cm/s^2),Stellar log(g) (cm/s^2) err,Stellar Radius (R_Sun),Stellar Radius (R_Sun) err,CTOI lastmod,User,Group,Tag,Notes
17361,17361.01,,,,,,,,PC,,11.342,0.006,219.336233,-24.958522,-18.45,0.054,-9.49,0.05,2458596.9598,.0011,3.60677,0.00023,10.951496,,10036,,0.089,0.003,83.22,.33,.92,.03,.098,.012,7.77,.37,13.46,2.27,,,,,,,.68,.2,,,,,,,,,,,308.901,3.0255,5775.3,121.637,4.25352,.0784445,1.25819,.0622261,2020-08-10 07:20:18,montalto,,29419,"new CTOI, Montalto et al. (2020)"
1449756,1449756.01,,,,,,,,PC,,10.8256,0.006,75.174905,-34.815988,6.288,0.035,-21.633,0.045,2458414.8544,.0079,23.29865,,2.274827,,2093,,0.266,0.031,85.31,.93,.97,.14,.058,.108,11.84,3.67,12.17,23.22,,,,,,,.06,.06,,,,,,,,,,,470.356,5.0525,6421,133.96,3.98115,.0893677,1.922,.0878517,2020-08-10 07:20:18,montalto,,29333,"new CTOI, Montalto et al. (2020)"
1525480,1525480.01,,,,,,,,PC,,12.2668,0.007,156.527712,-17.262814,-19.542,0.066,-37.036,0.068,2458543.3603,.0023,5.50987,0.00084,8.693458,,7975,,0.136,0.008,87.2,.69,.58,.09,.083,.011,11.84,.83,8.75,1.59,,,,,,,1.03,.36,,,,,,,,,,,345.003,7.1805,5519,127.048,4.45477,.0830699,.966127,.0533869,2020-08-10 07:20:18,montalto,,29401,"new CTOI, Montalto et al. (2020)"
2760219,2760219.01,,,,,,,,PC,,11.4408,0.006,356.375185,-16.114124,12.369,0.12,-5.394,0.088,2458353.1317,.0021,4.66259,0.00051,5.889779,,5410,,0.094,0.006,84.6,.7,.9,.01,.079,.004,9.53,1.22,13.14,1.36,,,,,,,.75,.32,,,,,,,,,,,434.92,15.7905,5949,125.492,4.10968,.0859059,1.52373,.0900829,2020-08-10 07:20:18,montalto,,29398,"new CTOI, Montalto et al. (2020)"
7422496,7422496.01,,,,,,,,PC,,8.7601,0.006,81.348892,-44.431285,-44.098,0.042,-110.328,0.051,2458470.354,.05,0,,0.760281,0.32577,700,300,5.9,1,,,,,,,,,2.4,1,,,,,,,,,,,,,,,,,,,69.6026,.1272,5744,117.134,4.56261,.0761973,.879321,.0413869,2020-01-24 10:25:52,eisner,,15948,"Planet Hunters TESS candidate. Single transit event."
8963901,8963901.01,,,,,,,,PC,,11.2163,0.015,354.637088,-9.318778,9.894,0.091,-8.363,0.057,2458354.2775,,0.4847222,,157.14947,,134752.781321882,,1.86666666666667,,,,,,,,,,200.837113505247,,,,,,,,,,,,,,,,,,,,1465.31,107.12,6515,100,,,5.01577,,2019-12-29 08:24:43,lipponen,,8409,"new CTOI"
10747470,10747470.01,,,,,,,,PC,,9.72577,0.006,212.252809,51.086496,-31.582,0.034,17.487,0.037,2458739.4155,,1.977093,0.000238,0.292863,0.022041,269.7,20.3,2.067,0.107,,,,,,,,,3.78,.14,,,4457,,2082,,,,.0342,,,,,,,,,,275.69,2.103,6176.61,129.695,3.90825,.0859421,1.99917,.0960829,2020-01-02 17:30:45,damboiu,,8505,"Short period Neptune around a subgiant, low s2n"
11356662,11356662.01,,,,,,,,PC,,10.0162,0.006,85.072833,-4.384661,-7.255,0.066,-40.889,0.064,2458467.2741,.0055,3.24887,0.00117,0.768973,,708,,0.133,0.014,87.8,.63,.29,.15,.023,.002,7.64,.34,2.84,.42,,,,,,,.8,.18,,,,,,,,,,,162.166,1.2725,5850,134.214,4.35408,.079021,1.13194,.0553015,2020-08-10 07:20:18,montalto,,29308,"new CTOI, Montalto et al. (2020)"
11521555,11521555.01,,,,,,,,PC,,9.0982,0.007,146.44726,-25.457737,-6.196,0.07,-7.534,0.071,2458515.692,.0047,5.86703,0.00077,2.787403,,2564,,0.17,0.007,80.12,1.48,.93,.01,.053,.007,5.42,.84,17.91,3.13,,,,,,,.09,.04,,,,,,,,,,,323.506,3.9455,6294,132.523,3.54625,.0862888,3.09644,.144573,2020-08-10 07:20:18,montalto,,29323,"new CTOI, Montalto et al. (2020)"
12011437,12011437.01,,,,,,,,PC,,12.038,0.006,146.644121,-32.795242,-3.464,0.051,-18.485,0.069,2458542.7187,.0081,2.43269,0.00131,4.769241,,4383,,0.11,0.006,89.57,.14,.06,.22,.052,.011,7.38,.34,6.58,1.76,,,,,,,1.29,.28,,,,,,,,,,,387.663,5.684,5732,134.684,4.31833,.0826397,1.15923,.0610804,2020-08-10 07:20:18,montalto,,29448,"new CTOI, Montalto et al. (2020)"
