rowid,TIC ID,TESS Disposition,TFOPWG Disposition,Planet SNR,Sectors,Comments
0,231663901,KP,KP,0.887868,1,WASP-46 b
1,149603524,KP,KP,474.380951,"1,2,3,4,6",WASP 62b
2,336732616,KP,KP,0.800299,1,HATS-3
3,231670397,KP,KP,0.808662,1,WASP-73
4,144065872,KP,KP,0.886027,1,WASP-95
5,38846515,KP,KP,278.009491,"1,2,3,4,5,6",WASP-100b
6,92352620,KP,KP,0.8602,1,WASP-94A (planet host)
7,289793076,KP,KP,0.820267,1,HATS-13
8,29344935,KP,KP,0.8341639999999999,1,HATS-14
9,281459670,KP,KP,100.35208100000001,"1,2",HATS-30
10,355703913,KP,KP,30.581211,"1,2",HATS-34
11,388104525,KP,KP,235.47691,"1,2,3,4",WASP-119 b
12,97409519,KP,KP,0.8292139999999999,1,WASP-124
13,25155310,KP,KP,240.63535,"1,2,3,4,5,6",WASP-62 c
14,281541555,KP,KP,24.498663,"1,2",HATS-46
15,238176110,KP,KP,0.808503,1,WASP-91
16,322307342,PC,KP,73.0,"1,2",HATS-68
17,266980320,PC,CP,0.830483,1,HD 219666 b
18,278683844,PC,,20.643391,"1,2,3,4,5,6",follow up in progress
19,278683844,PC,,19.546083,"1,2,3,4,5,6,8,9,10,11,12,13",follow up in progress
20,394137592,KP,CP,32.900002,1,
21,207081058,PC,FP,0.8365879999999999,1,Warm Jupiter candidate with a possible secondary
22,231702397,PC,,0.940471,1,Small star with a small planet candidate
23,290131778,PC,CP,0.920341,1,
24,29831208,PC,FP,22.854354999999998,"1,3",known TOI
25,52368076,PC,CP,17.438063,"1,2",
26,52368076,PC,CP,14.804295999999999,"1,2",second planet (125.02)
27,52368076,PC,,10.261628,"1,2",period is likely correct but possibly two independent single transits
28,70440470,PC,KP,0.860842,1,
29,234523599,KP,CP,58.1628,"1,2",HATS-71 b
30,391949880,PC,,16.0,1,There is a nearby (2
31,201248411,PC,,108.864296,2,TOI 129.01
32,263003176,PC,,22.53896,"1,12,13",Centroid shift is almost a pixel away but there is no corresponding star in that position. There are two nearby stars Gmag=13 close to the NW and Gmag=18 to the SE. If the transit signal is on target it is a small planet around a bright star.
33,235037761,PC,FP,0.815768,1,V shaped
34,89020549,PC,,0.8454860000000001,1,Possible centroid shift toward faint star to the SE
35,219338557,PC,,0.8212209999999999,1,
36,234994474,PC,,0.8231930000000001,1,Level 1 candidate
37,267263253,PC,CP,0.7776569999999999,1,
38,410153553,PC,CP,0.817114,1,Level 1 target. Potential short period small planet around an M dwarf.
39,176957796,PC,FA,8.547472,1,
40,277683130,PC,FP,17.5,1,
41,62483237,PC,,0.8885370000000001,1,Level 1 candidate
42,140068425,PC,,0.832334,1,
43,403224672,PC,CP,0.795608,1,
44,425934411,PC,,22.001486,"1,2",Gaia stellar radii 0.69 Rsun.
45,25375553,PC,KP,0.873101,1,
46,261136679,PC,CP,13.214754000000001,"1,4",Pi Men c
47,265612438,PC,,22.0,1,Some confusion about whether source is this star or the close pair of equal brightness stars to the NE (260985864)- but difference image seems to indicate source is more likely to be this star.
48,355636844,KP,FP,10.0,"1,2",Signal coming from a faint star to the SE. At least for the brighter of those it could be a planet.
49,220435095,PC,,170.0,"1,2,3,4,5,6,7,8,9,10,11,12,13",Visible secondary; very likely EB
50,393940766,PC,,26.0,1,Planet candidate around 393940766 to the NW.
51,260985861,PC,,151.0,"1,8,11,12,13",Source is apparently 260985864- which may be a planet depending on host star size.
52,271893367,PC,,313.0,"1,2,3,4,5,6,7,8,9,10,11,12,13",
53,382302241,PC,FP,10.0,1,Large with possible synchronization
54,403287048,PC,FP,16.0,1,
55,231081369,PC,FP,11.0,1,
56,389525208,PC,FP,40.0,1,
57,129637892,PC,,27.0,1,
58,220518305,PC,FP,40.0,1,Warm Jupiter candidate with a period of about 14 days
59,140691463,PC,,286.0,"1,2,3,4,5,6,7,8,9,11,12,13",
60,403136413,PC,FP,22.0,1,
61,394657039,PC,,143.0,"1,2,12,13",
62,253917293,PC,FP,25.0,1,Source is star to the WSW (253917292).
63,348770361,PC,,29.0,"1,12,13",Unknown stellar (and candidate) radius. Possible small centroid shift to NW.
64,99493790,PC,FP,74.0,1,
65,179317684,PC,CP,198.0,"1,2,3,4,5,6,8,9,10,11,12,13",
66,79395355,PC,FP,17.0,1,Potential blend with 79395356 to NE
67,350743714,PC,FP,65.968254,3,known brown dwarf; discovered by WASP; one of transits is in gap
68,147203645,PC,,32.0,1,
69,149990841,PC,,97.0,"1,2,4,5,7,8,9,10,11,12",
70,369457671,PC,,9.0,1,
71,183120439,PC,,53.0,"1,13",
72,394698182,PC,,121.0,"1,12,13",
73,309257814,PC,,25.394281,10,follow-up in progress
74,309257814,PC,,9.723838,10,Likely EB and possibly double the period
75,29857954,PC,CP,11.0,1,Star to NW checked. Transit likely on the target.
76,270341214,PC,,137.0,"1,13",single transit in sector 1; additional transit in s13; period could be 29.7 days or a multiple thereof
77,425997655,PC,CP,17.71134,"1,2,3,4",HD 23472 b
78,425997655,PC,CP,14.497121,"1,2,3,4",HD 23472 c
79,425997655,PC,,8.132966999999999,"1,2,3,4",low MES
80,425997655,PC,,7.809419999999999,"1,2,3,4",low MES
81,307210830,PC,CP,51.327492,"2,5,8,9,10,11,12",
82,307210830,PC,CP,28.665125,"2,5,8,9,10,11,12",has been confirmed by follow-up
83,307210830,PC,CP,25.764035999999997,"2,5,8,9,10,11,12",has been confirmed by follow-up
84,272086159,PC,FP,49.630848,"2,3,4,5,6",
85,262530407,PC,,25.673399,"2,3",known TOI
86,251848941,PC,,11.100334,2,
87,251848941,PC,,9.537692,2,similar period to candidate 3
88,251848941,PC,,7.679550999999999,2,similar period to candidate 2 and may be wrong; only two transits
89,207141131,PC,,21.0557,"2,3",known TOI
90,51912829,KP,FP,49.261066,"1,2",Likely EB
91,76923707,PC,,64.932281,2,
92,76989773,PC,FP,160.339111,2,v-shaped; two stars in PSF
93,183979262,PC,,296.10778799999997,"1,2",700 ppm secondary; likely EB; possibly synchronized with rotation
94,300871545,PC,FP,339.026093,"1,2",1000 ppm secondary; likely EB
95,100100827,KP,KP,465.15985,"2,3",WASP-18b
96,279741379,PC,CP,26.48149,"1,2,3,4",single transit of GJ 143/HD 21749 b; second transit falls in data gap;  third transit falls on interval of instrument noise; period from follow-up is 35.6 days
97,279741379,PC,,11.074308,"1,2,3,4",HD 21749 c
98,260304296,PC,FP,148.46315,"1,2",v-shaped; very likely EB
99,280830734,PC,FP,10.150243,"1,2",V-shaped; variable slightly evolved star
100,278866211,PC,FP,54.27780500000001,"1,2",8th mag star nearby; v-shaped; likely on target
101,166739520,KP,KP,162.08876,"2,3",WASP-117
102,183532609,KP,KP,86.546089,2,WASP-8
103,183537452,KP,KP,171.82695,2,WASP-29
104,183985250,PC,,35.477856,2,Tdur is short for Rstar
105,211438925,KP,KP,134.421387,2,WASP-20
106,230982885,KP,KP,299.29235800000004,2,WASP-97
107,234519192,PC,,14.799332999999999,2,v-shaped
108,441462736,PC,CP,14.385106,2,evolved star
109,12421862,PC,,11.134932000000001,2,
110,309792357,PC,,75.59162099999999,"1,2,3",known TOI; single transit; no period
111,410214986,PC,CP,20.744928,1,The transit was detected with a bunch of false signals due to detrending; But the two transits near epoch 1332.3098 and 1340.4473 looks reasonable;
112,350618622,PC,,149.07959,"1,2,3,4,5,6,7,8,10,11,12,13",single transit in previous sectors
113,350618622,PC,,9.464837,"1,2,3,4,5,6,7,8,10,11,12,13",
114,355509914,PC,,11.086711,"1,2",The OOT centroid is wrong; The signal is on target.
115,259962054,PC,,8.938508,"1,2",M dwarf; first transit is on/near momentum dump; the transit duration is a bit long for the reported period;
116,281781375,PC,,7.262499000000001,"1,2",Only two events;  first event is on/near momentum dump.
117,281575427,PC,,9.437298,"1,2",
118,55650590,PC,,14.420712,"1,2,3,4,5,6",
119,260271203,PC,FP,71.43821,4,follow-up in progress
120,314865962,PC,,12.602765,"1,2,3,6",
121,52204645,PC,,11.460917,"1,2",The signal is likely on target; the centroid offset seen in SPOC report is likely caused by the nearby giant 9th mag star;which has a peak in periodogram at 8.60 days; and causes the second bright spot seen in difference image
122,141608198,PC,,15.112359,"1,2,3,4,5",TOI 210; VPC+
123,300293197,PC,FP,26.143083999999998,"1,2,3",known TOI
124,206609630,PC,,96.13314100000001,"1,2",Possible M dwarf; Gaia give this source duplication flag; no radius/parallax available
125,234345288,PC,,16.089216,"1,2,13",one of the transits is cut off
126,167415965,PC,,25.924818,"1,2,3,4,5,6,7,9,10,11,12,13",follow up in progress
127,167415965,PC,,10.070553,"1,2,3,4,5,6,7,9,10,11,12,13",possibly has TTVs
128,231912935,PC,,8.026641999999999,"1,2",A weak detection.
129,55652896,PC,CP,144.75,"1,2,3,4,5,6",
130,55652896,PC,CP,22.036518,"1,2,3,4,5,6",
131,260043723,PC,FP,17.360364999999998,"1,2",possible centroid shift
132,32090583,PC,,10.018258,"1,2,3,4,6",this is the toi.01 target (period 0.4 days)
133,260609205,PC,FP,52.699402,"1,2",
134,150098860,PC,,28.341545,"1,2,4,5,6,7,8,9,10,11,12",
135,316937670,PC,FP,7.447937,"1,2",M dwarf; low MES USP.
136,144440290,PC,FP,20.308218,2,single transit (no period)
137,326453034,PC,,7.6791529999999995,2,Low significance; not enough information from centroid plot to determine if object is on target. Gaia indicates R*=2.7. Transit duration seems short for a giant. Period is similar to the spacecraft period but transit events are not near known scattered light events so they could be real.
138,70797900,PC,FP,145.515579,2,V-shaped; single transit; likely EB.
139,47525799,PC,,22.171879,2,single transit (no period); centroid information is hard to interpret
140,47484268,PC,FP,16.452566,2,The second event is not real. Single transit (no period).
141,2760710,PC,,11.973635,2,The second event is not real. single transit (no period).
142,77044471,KP,KP,21.752041000000002,2,HATS-16
143,120610833,PC,KP,65.771721,2,V-shaped.
144,160074939,PC,,7.757574000000001,2,The transit signal maybe caused by scattered light.
145,204376737,KP,KP,156.594055,2,WASP-6
146,402026209,KP,KP,258.426331,2,WASP-4
147,415969908,PC,,9.514482000000001,2,
148,12423815,PC,,19.285355,2,centroid shift is not significant.
149,280095254,PC,,35.571888,"2,6,13",follow-up in progress; originally reported period was 20.1 which is twice the real period identified here
150,9727392,PC,FP,162.495651,2,1700 ppm secondary. Likely EB.
151,305048087,PC,,7.687469999999999,2,low MES.
152,9006668,PC,,7.622330000000001,2,centroid offset not significant.
153,9725627,PC,KP,32.183025,2,
154,101948569,PC,,11.03341,2,
155,77031414,PC,KP,168.578995,2,target could also be 77031413.
156,120585579,PC,FP,95.533539,2,The detected secondary could have a wrong depth estimation because of the low points near 1380.
157,149010208,PC,FP,72.028503,2,Gaia radius is 1.8 Rsun. Planet radius is big.
158,118327550,PC,,8.294319999999999,2,Stellar radius is likely to be smaller because Teff is low. Gaia shows it is a high proper motion star with big parallax.
