rowid,TIC_ID,TESS Disposition,TFOPWG Disposition,Planet SNR,Sectors,Comments,Full TOI ID,Group Disposition,Orbital Epoch Value,Orbital Period Error,Orbital Period Value,Public Comment
0,1003831,PC,PC,21.112694,8,some odd-even,564.01,PC,1518.203536,7e-05,1.6511419999999999,some odd-even
1,1103432,EB,FP,31.432276,8,possible synchronization,565.01,FP,1519.870491,0.000455,3.7278910000000014,possible synchronization
2,1129033,KP,KP,348.148499,4,WASP-77A b,398.01,KP,1410.9847109999994,7.000000000000003e-06,1.360025,WASP-77A b
3,1133072,PC,FP,9.50554,8,,566.01,FP,1517.531592,0.00017900000000000001,0.846542,
4,1449640,PC,FP,71.0,5,likely EB; hint of secondary.,446.01,FP,1440.4336,0.0003,3.50175,likely EB; hint of secondary.
5,1528696,KP,KP,33.0,5,depth is 8 ppt,448.01,KP,1438.40559,7e-05,0.88202,depth is 8 ppt
6,2758565,,,28.0,2,synchronized with stellar rotation,287.01,PC,1356.03117,0.00043,3.7819199999999995,synchronized with stellar rotation
7,2760710,,,11.973635,2,The second event is not real. single transit (no period).,227.01,PC,1364.102069,,,The second event is not real. single transit (no period).
8,4616072,KP,KP,20.633278,6,HATS-45,466.01,KP,1469.0616619999994,0.000656,4.18599,HATS-45
9,4646810,PC,PC,9.984915,4,may be two single transits,461.01,PC,1416.345972,0.002807,14.490034,may be two single transits
10,4897275,PC,PC,11.938421,21,,1774.01,PC,1872.341155,0.00328,16.710042,
11,5109298,PC,PC,16.0,7,,960.01,PC,1491.79665,0.0007099999999999999,1.6221,
12,5772442,PC,FP,20.0,7,Saturn-sized; Slight centroid shift; potentially blended (BEB or diluted planet); need SG1 to check,979.01,FP,1492.50181,0.00022,1.10578,Saturn-sized; Slight centroid shift; potentially blended (BEB or diluted planet); need SG1 to check
13,5868998,PC,FP,74.558151,10,Likely EB,749.01,FP,1569.93359,1.2e-05,0.63554,Likely EB
14,6663331,KP,KP,25.185488,13,HATS-28b,1068.01,KP,1656.633231,0.00024700000000000004,3.1803619999999997,HATS-28b
15,7088246,KP,KP,17.524658,13,HATS-23b,1065.01,KP,1654.347994,0.000276,2.160344,HATS-23b
16,7413227,PC,PC,28.0,11,possible EB,1940.01,PC,1601.23279,0.00035,3.4161599999999996,possible EB
17,7561203,PC,PC,17.0,7,may also be on 7561200,991.01,PC,1491.8825,0.00042,2.48454,may also be on 7561200
18,7624182,EB,FP,20.24239,4,hot star; could still be a planet,412.01,FP,1411.815795,5.2000000000000004e-05,1.108467,hot star; could still be a planet
19,8400842,KP,KP,155.07233,19,XO-3b,1676.01,KP,1819.064098,7.6e-05,3.191584,XO-3b
20,8767448,KP,KP,139.25148000000002,21,WASP-13 b,1767.01,KP,1870.743581,0.00011599999999999999,4.353217,WASP-13 b
21,8967242,PC,PC,7.147946000000001,22,low SNR; possible instrument or systematic,1799.01,PC,1904.815773,0.0020859999999999997,7.093853,low SNR; possible instrument or systematic
22,8988289,,FP,48.0,2,V-shaped,316.01,FP,1365.98759,0.0,13.323789999999999,V-shaped
23,9006668,PC,PC,7.622330000000002,2,centroid offset not significant.,238.01,PC,1354.669184,0.000206,1.272419,centroid offset not significant.
24,9032368,,FP,13.0,2,target is likely 9032367 (still possible to be a planet);,373.01,FP,1355.67942,0.00042,1.632,target is likely 9032367 (still possible to be a planet);
25,9033144,,FP,37.0,2,likely EB,367.01,FP,1354.29153,0.00057,4.714519999999999,likely EB
26,9100874,PC,PC,16.0,2,,307.01,PC,1357.84005,0.00199,6.16425,
27,9102327,,FP,16.0,2,target star is two stars in Gaia ();  check if it is on target;,313.01,FP,1354.54332,0.00086,3.2615,target star is two stars in Gaia ();  check if it is on target;
28,9348006,PC,PC,29.144968,21,,1775.01,PC,1877.5646760000002,0.001254,10.240374000000001,
29,9392421,PC,PC,63.0,22,,1822.01,PC,1911.71847,0.0017100000000000001,9.61396,
30,9725627,PC,KP,32.183025,2,,239.01,KP,1356.962278,0.000336,4.15701,
31,9727392,PC,FP,162.495651,2,1700 ppm secondary. Likely EB.,236.01,FP,1355.325711,0.000118,4.534451,1700 ppm secondary. Likely EB.
32,9804616,PC,PC,25.980261,4,faint target star,460.01,PC,1411.065871,1.6e-05,0.516835,faint target star
33,9837861,PC,FP,10.0,"18,19",Possibly variability; check 9837855,1679.01,FP,1817.9375,0.00027,0.65725,Possibly variability; check 9837855
34,9858404,PC,FP,35.0,4,v-shaped; some odd-even,394.01,FP,1411.26947,2e-05,0.39149,v-shaped; some odd-even
35,11111899,PC,FP,33.0,15,,1313.01,FP,1684.28928,5e-05,0.61944,
36,11561667,PC,PC,17.464441,9,GAIA DR2 Rstar = 0.6 Rsun which makes Rp ~1.5 RJup,730.01,PC,1543.867414,0.000563,3.087925,GAIA DR2 Rstar = 0.6 Rsun which makes Rp ~1.5 RJup
