,Unnamed: 0,TIC_ID,T0,Depth,Period,Period_Uncertainity,Duration,TMag,Teff,Radius,NumTransits,a,b,logg,rp_rs,DepthEven,DepthOdd,odd_even_mismatch,snr,sde,Mass,distance,lum,rho,Camera,CCD,RA,DEC,PMRA,PMDEC,PMTOTAL,MH
0,0,220599773,2187.1163151593787,0.9994058364615952,12.939608417224903,inf,1.356451203493492,9.49330044,5261.29980469,0.901081,1.0,0.4036,0.2028,4.48277998,0.022229395165862826,,0.9994660055309827,,4.4086331878002625,6.631748590797298,0.9,83.3883,0.560524046,1.23013,3,4,82.9682855876102,-45.7392260697281,14.2302,-132.152,132.91594974,-0.51999998
1,1,231948487,2174.5254219938347,0.9977833666273976,0.7744133446975086,0.0010464096380071175,0.4537604422404728,11.58189964,7778.0,1.81852,31.0,0.2396,0.2457,4.18345022,0.044145522052667474,0.9977007768384676,0.9981318853230084,0.9267796352318912,12.235042355653169,12.174654680428402,1.84,804.44,10.90448,0.30595700000000003,3,4,94.2719865435136,-45.5542990046174,-5.56916,10.9321,12.26891819,
2,2,464809651,2175.2182534787116,0.9996070201737328,1.5373588738694717,0.017229270756274898,4.04116113120172,8.88998985,6657.0,2.2538,16.0,0.3158,0.2206,3.87930012,0.018362014911485185,0.9996646115867294,0.9996211550559608,1.0882915149933146,24.44832728514651,9.433820904676113,1.403,228.709,8.987486,0.12255,1,4,70.6882157416081,4.4307188020043,8.05863,-17.7372,19.4820374,
3,3,435930763,2183.67237029032,0.9998507943872964,9.737667714006195,0.2373641029364979,23.156664152097484,8.34879971,5264.12988281,0.830592,2.0,0.4036,0.2028,4.55353022,0.01113953924384474,0.9998833815765608,0.9998699209785952,0.37424662635625455,9.831211767113096,4.692665354580838,0.9,46.525,0.477283865,1.57065,1,4,65.8847215422895,14.6704783441181,109.352,-17.9807,110.82041994,
4,4,55650590,2174.504242610989,0.998643008808623,0.7365360939476858,0.0016261621564198634,0.5700486050607313,12.43120003,3383.0,0.35167600000000004,33.0,0.1555,0.4459,4.87231016,0.03443554490036118,0.9985062818524214,0.9989725270683312,1.0412158205080764,7.929611777091527,9.446449919701124,0.336144,47.7465,0.014594464599999999,7.72853,4,2,73.737231358606,-62.5223519900679,105.973,111.015,153.47510207,
5,5,140283219,2176.4330696527413,0.998296517073054,2.8847643682886,0.010014195414928428,0.9478624096761356,11.96039963,6667.0,1.28613,9.0,0.2969,0.2312,4.36872005,0.03833084951433928,0.9987196367439504,0.9981200289225199,1.1499410935416847,8.374490100396072,10.501566475669604,1.41,552.4680000000001,2.94432759,0.662773,3,1,85.2968982296005,-34.0942818925348,-1.49553,3.18356,3.51733767,
6,6,276863576,2179.4142806708355,0.9982795610612984,6.168911429710486,0.06050215363981337,1.9281119577599115,11.40950012,12074.0,,4.0,0.0697,0.5636,4.0,0.03897256526135342,0.9983286552047808,0.9986402137418864,0.5411957719242857,9.653551516129548,5.8744058205781515,,7849.63,,,4,2,83.4896713758205,-66.8547511028768,1.5519,0.642725,1.67972886,
7,7,167718227,2174.6051065780052,0.9980400098121032,0.6305650009786601,0.0005325201745047803,0.44977200464098377,10.6395998,7403.33007813,1.57318,37.0,0.2438,0.2464,4.2723999,0.04147551150872872,0.9981878518374108,0.9980534961260502,0.4925442946154048,16.452825624578335,12.624649422412984,1.69,404.02,6.69818735,0.434066,4,1,103.090686246381,-62.6681068139991,-4.77716,9.61389,10.73536858,-0.448434
8,8,237947691,2174.2955934832103,0.9991919945034066,0.8635602817142798,0.0012060074330031425,0.4561261498119672,8.46020031,7551.0,1.53219,29.0,0.2559,0.2329,4.31048012,0.02660298005314277,0.9992645231499936,0.9992558952272941,0.09955659091459584,19.862459924207663,18.346414522964718,1.75,158.14600000000002,6.876011,0.486522,4,1,101.314360011839,-51.5700721702579,-7.8329,26.0199,27.17332365,
9,9,389749953,2177.8814909232274,0.9973144738865116,4.449756885297647,0.04627186096820735,6.474770091440612,10.67749977,6000.0,,4.0,0.3685,0.5069,4.0,0.0461386149704753,0.9979211042249062,0.998177501247308,0.7975830487599808,16.56615976519847,8.883266740871697,,9360.43,,,4,3,87.2068829116301,-70.0660655570879,1.7506,0.867983,1.953969,
