rowid,TIC_ID,T0,Depth,Period,Period_Uncertainity,Duration,TMag,Teff,Radius,NumTransits,a,b,logg,rp_rs,DepthEven,DepthOdd,odd_even_mismatch,snr,sde,Mass,distance,lum,rho,Disposition
0,141712167,1354.734391163242,0.9998146853463808,0.8658972059479065,0.0015182034674467435,0.6498196312134068,9.39000034,5875.0,,29.0,0.3685,0.5069,4.32736015,0.012120059296324771,0.9998109126686444,0.9998441164453268,0.3750078382150223,5.923987652306478,9.224722528961037,,123.949,,,EB
1,98658292,1386.5780718139465,0.9984820603551235,2.2760277759860457,0.02234344250980413,0.2694923657077104,12.44900036,3219.0,0.248,8.0,0.5221,0.3406,5.00746012,0.03417015034849815,0.9984678724656196,0.994551465442122,1.4467156853634369,5.567144730516118,3.9943255782638967,0.228,58.7705841,0.00594952051,14.9479,IS
2,287428184,1354.512778826483,0.9934868729525212,0.6595515666721016,0.003962586245854993,1.7868923547420374,8.6420002,9259.0,1.8067799999999998,39.0,0.1602,0.2331,4.34835005,0.0768914239518871,0.9939893506727634,0.9940200272729234,0.7981186398549948,94.38139262795514,11.676960850173558,2.54,261.032,28.641746500000004,0.430647,V
3,300136862,1415.9283507478485,0.9981006679811066,6.944154283863307,0.09575293736247216,4.938952292750555,11.85499954,4870.16992188,0.740764,4.0,0.4307,0.2796,4.56786013,0.03921915832813271,0.9998961748889602,0.9961250410941268,5.828796307985481,12.4324326203176,6.538106324807964,,176.088,,,J
4,144300375,1354.6863379730341,0.9998766739443548,1.1337049462198825,0.0010872924129819994,0.11329150509114748,8.45600033,5348.54003906,0.959217,23.0,0.4036,0.2028,4.0,0.010127495722612607,0.9997504282259141,0.9998391990423748,0.5963990532664302,3.8104590291721663,5.211312926127215,0.92,59.1195,0.6783744690000001,1.04241,J
5,32050788,1411.6232886853932,0.9990873939157422,0.9639659415161173,0.0009254284209726515,0.4574028426491631,7.22200012,7893.0,2.19116,24.0,0.2396,0.2457,4.00618982,0.028325749048843493,0.9991386135467636,0.9990251842971496,0.9386521439964076,16.185306418524746,9.994965149656343,1.86,133.895,16.2504845,0.176804,V
6,9725388,1354.1204837520668,0.999712264189996,2.497548434998973,0.006233269099676031,0.7776864079753392,9.61400032,5910.89990234,0.8621219999999999,11.0,0.3454,0.2253,3.6500001,0.015614203387079919,0.9997633381454312,0.9997240299939604,0.262264969266237,4.679234112019485,4.773018963966138,1.075,108.596,0.8174220999999999,1.67765,J
7,350519062,1358.1069738103215,0.9992885031582958,4.007267169863981,0.0645536309859589,11.884202347349564,7.474999900000001,8937.0,2.7178299999999997,6.0,0.1714,0.2437,3.97091007,0.025336693261506137,0.9994081982738092,0.9993187908305348,3.714125318900852,41.68137385354118,6.6149548376720295,2.41,223.036,53.2521973,0.120046,J
8,260507500,1387.8760533449633,0.9996950693511356,3.1602724888584937,0.028911536686741623,4.022109800825967,8.15400028,4743.0,20.5503,6.0,0.4416,0.2763,4.0,0.015684476432806266,0.9997038294671896,0.9997671079857686,1.4796274638745297,15.561662531483915,4.442585089166202,,873.549,,,J
9,220402290,1438.7678863254846,0.9851821799284994,0.7854641825021184,0.002779855838899892,2.1670039803334453,11.51000023,5770.0,1.1143100000000001,31.0,0.3495,0.2247,4.19000006,0.11196703386038702,0.9866598412070412,0.9866871115018584,0.11912462593548095,175.23207834605418,19.705687092211694,1.05,324.216,1.28090954,0.758868,EB
10,55659311,1326.0783736210842,0.9534738240022134,7.1712389255586615,0.062366260596330665,4.490037565421611,9.77999973,6351.0,1.40249,4.0,0.3181,0.3235,4.24519014,0.19769753196977616,1.0000790506330401,0.9133060883162062,54.23664678490076,118.15140574255663,13.58452228156034,,224.174,,,EB
11,259592542,1386.7217951961788,0.9936310848942124,1.3385345415695251,0.01558166154594487,3.5635237390378607,5.96299982,6540.0,,14.0,0.31,0.3271,4.0,0.0732364790001482,0.9947115410336236,0.993814897710222,2.4343697075345383,37.903569026552745,5.540613721967043,,38.5386162,,,IS
12,212296170,1339.2183795353571,0.9903167855242424,13.933063188357089,inf,1.1007845110361827,8.06299973,4308.0,19.4986,1.0,0.4951,0.2532,4.0,0.08761580715010663,,0.9851764033138518,,91.68125845612975,21.204082845078837,,646.0930000000002,,,IS
13,382067804,1391.702579658477,0.8612897988390702,8.975179277640398,0.17431068080423007,9.079121108092023,9.98700047,6259.0,2.27196,2.0,0.3276,0.218,3.75584006,0.3442720482679976,0.7579870652716656,0.9999517767179028,62.32700241227196,96.36281683001013,9.40424123758788,1.34,387.356,8.373151,0.114262,IS
14,231833061,1333.610921534285,0.7501067130319337,12.903136825241376,0.09562559170757634,2.3647336354845123,10.86200047,4371.0,0.9404,2.0,0.4913,0.1645,4.27132988,0.4495751943645114,0.9083177469456166,0.6719797087007823,13.729755596111687,126.74616188910922,21.29373004197604,0.72,128.586,0.350575745,0.8657540000000001,EB
15,309659436,1354.1197244772004,0.9996802109992512,3.822633795609261,0.010994712428485045,0.7300740885513906,9.52700043,6200.0,1.69734,8.0,0.3276,0.218,4.02750015,0.016530246262727016,0.9995394472152612,0.9998819988439984,2.0310963401915645,5.004602424880296,5.2500115990313825,1.33,233.198,4.65323973,0.271985,J
16,29984014,1438.9875432304696,0.999408375325844,1.085411033281288,0.006949876754565709,2.6438725781058108,10.21000004,6253.0,,23.0,0.3685,0.5069,4.26082993,0.021655738703450188,0.9994653844565228,0.9995043491490878,0.4313529128984192,16.474077370096968,11.751993957338714,,6125.27,,,V
17,197904448,1411.364972266733,0.9985826434839123,0.6053280680636866,0.0007469407384668725,0.3822274635189555,8.61400032,8246.0,1.7329400000000001,37.0,0.1983,0.235,4.23309994,0.035611179707512174,0.9983729730242518,0.9985995395068222,1.0350342912983892,15.399767691731704,10.368767436485248,2.17,227.746,15.189067800000002,0.416974,J
18,238188583,1326.109866750034,0.9996213874590236,0.9643501529706544,0.003445330889468745,1.762286211589854,8.08399963,7607.0,1.6953099999999999,27.0,0.2683,0.2357,4.26187992,0.018162565808381704,0.9995798238103171,0.9996953573847666,2.7433740078408464,23.432838343256073,8.015508360417314,1.66,140.606,7.4790287,0.340692,J
19,272129477,1386.4641502222908,0.999648282756003,1.018069201779542,0.013989783367912678,2.6823650559408856,8.63300037,7028.0,1.60706,19.0,0.2559,0.2329,4.24379015,0.017551731312405432,0.9996886627553916,0.999681898266016,0.1921546338472887,23.84931049257328,6.659095347784215,1.75,161.347,7.548446,0.421638,J
20,167010740,1388.9814007719974,0.9997229278602642,3.0366230296818517,0.010912264752781729,0.9613509215763958,9.64099979,6047.0,1.52342,6.0,0.3451,0.21600000000000003,4.1967802,0.015337047007091126,0.9997652376089646,0.9997810188048262,0.0850633876421548,3.6399952062175465,5.0886083725364895,1.18,200.268,3.06177735,0.333751,J
21,149102723,1354.2068362868026,0.9960828747257318,8.948623938899443,0.059883700540471985,4.589584299282452,11.17099953,6000.0,,4.0,0.3685,0.5069,4.0,0.05572288506072883,0.9961617346380164,0.9972113925260532,1.619552600948968,14.439109870928865,4.547110074513953,,7748.4,,,J
22,309792043,1439.9097396455645,0.999794718737038,1.9793211837945972,0.016655421774127818,5.4753646872072395,6.98999977,8482.0,2.6299900000000003,13.0,0.1911,0.2468,3.89190006,0.013555845377354958,0.999790687046943,0.9998339005728668,2.5839445807317816,29.329724131869554,5.678851339539027,2.16,164.187,34.72638,0.118738,J
23,167720056,1415.5613263049295,0.9990349183791742,6.195607387297536,0.07178265548868712,11.688194289747653,8.53299999,7125.0,1.9445,4.0,0.2961,0.2276,3.99712992,0.02886553831186245,0.9997100909180564,0.9996924550698956,0.388183042994282,14.783727191871087,5.103016607743086,1.54,185.922,8.230542999999999,0.209459,J
24,300970893,1387.6648429964193,0.9814195975966704,3.6845923336740296,0.007078231077083608,1.8699052846747275,13.29899979,6000.0,,6.0,0.3685,0.5069,4.0,0.12136051792797385,0.98666626170509,0.9978184597727766,1.654545556349329,3.833832138867316,4.2766340713983055,,8.17032,,,J
25,339770560,1355.0160328963236,0.9961635437920608,1.0975694155882103,0.010941095760091056,2.92145030228876,12.52600002,3460.0,0.43497600000000003,24.0,0.1533,0.4776,4.0,0.05774973057566245,0.9968034553451914,0.9962407013486968,1.5787262132725668,27.30394853515275,8.07374436300991,0.430329,61.8747,0.0186921544,5.22883,V
26,250392862,1411.6675572787385,0.9989102849096256,1.0633328699138118,0.001054984028665884,0.4670941825351115,6.775000099999999,7987.0,1.87244,21.0,0.2273,0.2465,4.11493015,0.03102228041366593,0.9986212172224956,0.9986559420346576,0.10518205045142863,13.304932563982453,12.787692758577442,1.9,95.3403,12.4534311,0.28942,J
27,271643155,1439.692472761951,0.9588008215764824,1.9478746674537732,0.031526993212956045,5.4987618904725455,11.19699955,5677.0,3.205,12.0,0.3425,0.2339,4.364389900000001,0.18678737711086368,0.9636840640471626,0.9637178337349795,0.19409639401360784,94.33062533977508,7.7106303324297425,1.18,799.2689999999999,13.4729033,0.0358425,J
28,12377591,1354.1271664896242,0.9999459419085358,2.4696638933922963,0.0154285402593215,1.8464876379527289,7.01300001,5616.87011719,1.58574,12.0,0.3789,0.2128,4.01000023,0.006731515000478625,0.9999629504620684,0.9999398089676204,0.8964568425263286,5.322526444697104,4.294508773953137,0.99,54.4878,2.25495839,0.248277,J
29,309402106,1440.2126046813296,0.9995153101692644,7.9064377005466415,0.09035849359040693,5.05469865732445,8.47200012,7053.0,1.56939,4.0,0.2438,0.2464,4.22462988,0.02062513292342196,0.9996492060303503,0.9994817512852928,2.3174967435794245,19.097815078366864,7.671570253416354,1.71,157.721,6.86510038,0.442387,J
30,393491490,1411.5121912006698,0.9939920031121786,9.749794531742117,0.1317764915695081,2.4052392437629813,9.37800026,6882.0,1.9449900000000002,3.0,0.2961,0.2276,4.06096983,0.07202155404031531,0.99723390513653,0.9857208670763308,27.39073777232689,39.099367972145494,4.832059791088618,1.55,283.251,8.286545,0.210658,J
31,272187783,1411.4619410174923,0.9983812919125626,0.6794767687681996,0.001161234323293403,0.6967383877141262,7.93599987,8614.0,2.2035400000000003,32.0,0.1687,0.2447,4.18057013,0.03823174629137168,0.9982317635841615,0.998558810288561,2.63133725465524,23.888162402534466,8.211425638384238,2.45,206.966,37.21731,0.228983,V
