rowid,TIC_ID,T0,Depth,Period,Period_Uncertainity,Duration,TMag,Teff,Radius,NumTransits,a,b,logg,rp_rs,DepthEven,DepthOdd,odd_even_mismatch,snr,sde,Mass,distance,lum,rho,Disposition,Group Comment
0,120960812,1687.7113616632287,0.9988872109176006,12.730932814465527,0.06966377334885898,2.4615592831031843,10.27680016,6212.0,1.4776799999999999,2.0,0.3451,0.21600000000000003,4.17664003,0.030736311392027788,0.9989915125636676,0.9990622375617662,0.2335562697953555,9.207921881234528,8.561478117042563,1.196,243.24900000000002,2.92941928,0.370672,KP,Kepler-25 c
1,243187830,1776.3463151630747,0.9969905396245821,11.748552523795972,inf,2.3062931340042483,7.35510015,4755.33007813,0.701499,1.0,0.4642,0.1807,4.6268301,0.04952940162188538,,0.9968680387057128,,32.62964825681459,22.551646152406946,0.76,20.5272,0.22671039999999998,2.2015700000000002,PC,Single transit; ~2 Re; bright star; wide binary
2,38510224,1329.897151882761,0.9989920304169886,6.309823552696186,0.03162249675465345,2.3011762216413008,11.67599964,4356.0,0.681407,4.0,0.5098,0.1592,4.604710099999999,0.028459394915137805,0.9991341454192646,0.9988745775371852,0.5474607148162872,5.71691139516199,6.590931604376773,0.68,118.28,0.150611892,2.14926,PC,low SNR; period was listed as 9.2 d in previous dv reports; but 18.4 d seems more accurate.
3,200807066,1386.8328145256776,0.9997465291061716,4.296858047017857,0.01737675431634766,0.7163626411326631,8.88000011,5908.0,1.24841,5.0,0.3454,0.2253,4.281529900000001,0.014655037115467463,0.9996473657450158,0.9998621549440692,1.5519521474477789,5.1508172611936915,5.168433897770886,1.07,110.24700000000001,1.71301556,0.549932,PC,Possible single event (second event is on momentum dump); first event could be systematic
4,17005768,1765.262169190739,0.9931770300519448,6.845165582583197,0.03550105009675342,2.43924620272662,9.91759968,5766.0,1.1282,4.0,0.3622,0.3078,4.0,0.07516110486586805,0.9942466658742374,0.9937697687286596,1.264432109002661,81.9646738562523,17.67449489713091,,150.102,,,FP,There is a positive flare-like feature following the transit events
5,329864959,1739.9610849247288,0.9750667255875732,4.525408713653965,0.01642978115596616,3.7821577900454617,8.43700027,6000.0,,4.0,0.3685,0.5069,4.0,0.14058517372808935,0.9765120819363912,0.9760491309342108,1.5855635237764552,148.3906195130004,26.982825782788485,,324.346,,,FP,TFOP FP
6,261867566,1628.3582797364936,0.9854191608804864,3.7370821189401733,0.013093310777759992,1.3870718114415703,10.52799988,5565.0,1.0001799999999998,6.0,0.3947,0.2049,4.46276999,0.1102930236389626,0.9862656204322856,0.9859895200091338,0.4145027694926057,100.60899104181694,21.918512292136977,0.93,158.649,0.753373265,0.929501,PC,Large planet
7,52368076,1327.4366838344506,0.999179424620446,4.652327538198469,0.024599216850230032,2.9874032624721254,10.13799953,5154.0,0.852266,6.0,0.4036,0.2028,4.47071981,0.026123651939618908,0.9992986812949242,0.9992302572074254,0.5149066227032812,15.838913564820333,13.60697781111425,0.91,111.059,0.508605659,1.46999,CP,second planet (125.02)
8,162362398,1578.6695919637,0.9865361416270744,12.335323164177446,inf,5.212135297389762,10.58199978,7852.0,2.2974099999999997,2.0,0.2273,0.2465,4.20409012,0.10904405771086,0.988147466894713,0.987815245104642,0.6846697223836895,98.80053704782364,24.783594315751877,1.94,651.263,19.722089999999998,0.159987,FP,Likely EB; large radius.
9,328350926,1411.6026016069666,0.9946503325427499,0.8488516721788792,0.0015623948002800314,0.9702385305528148,8.25300026,5580.0,1.44029,26.0,0.3789,0.2128,4.0,0.06696468908996363,0.9947517190275827,0.9952875746189332,3.6161672344820177,257.8805773471758,29.50248150493235,0.99,87.4715,1.81189549,0.331347,FP,same pixel as 328350925 and 328350924
