tic_id,Sector,Filename
141712167,2,tess2018234235059-s0002-0000000141712167-0121-s_lc.fits
98658292,3,tess2018263035959-s0003-0000000098658292-0123-s_lc.fits
287428184,2,tess2018234235059-s0002-0000000287428184-0121-s_lc.fits
300136862,4,tess2018292075959-s0004-0000000300136862-0124-s_lc.fits
144300375,2,tess2018234235059-s0002-0000000144300375-0121-s_lc.fits
32050788,4,tess2018292075959-s0004-0000000032050788-0124-s_lc.fits
9725388,2,tess2018234235059-s0002-0000000009725388-0121-s_lc.fits
350519062,2,tess2018234235059-s0002-0000000350519062-0121-s_lc.fits
260507500,3,tess2018263035959-s0003-0000000260507500-0123-s_lc.fits
220402290,5,tess2018319095959-s0005-0000000220402290-0125-s_lc.fits
55659311,1,tess2018206045859-s0001-0000000055659311-0120-s_lc.fits
259592542,3,tess2018263035959-s0003-0000000259592542-0123-s_lc.fits
212296170,1,tess2018206045859-s0001-0000000212296170-0120-s_lc.fits
382067804,3,tess2018263035959-s0003-0000000382067804-0123-s_lc.fits
231833061,1,tess2018206045859-s0001-0000000231833061-0120-s_lc.fits
309659436,2,tess2018234235059-s0002-0000000309659436-0121-s_lc.fits
29984014,5,tess2018319095959-s0005-0000000029984014-0125-s_lc.fits
197904448,4,tess2018292075959-s0004-0000000197904448-0124-s_lc.fits
238188583,1,tess2018206045859-s0001-0000000238188583-0120-s_lc.fits
272129477,3,tess2018263035959-s0003-0000000272129477-0123-s_lc.fits
167010740,3,tess2018263035959-s0003-0000000167010740-0123-s_lc.fits
149102723,2,tess2018234235059-s0002-0000000149102723-0121-s_lc.fits
309792043,5,tess2018319095959-s0005-0000000309792043-0125-s_lc.fits
167720056,4,tess2018292075959-s0004-0000000167720056-0124-s_lc.fits
300970893,3,tess2018263035959-s0003-0000000300970893-0123-s_lc.fits
339770560,2,tess2018234235059-s0002-0000000339770560-0121-s_lc.fits
250392862,4,tess2018292075959-s0004-0000000250392862-0124-s_lc.fits
271643155,5,tess2018319095959-s0005-0000000271643155-0125-s_lc.fits
12377591,2,tess2018234235059-s0002-0000000012377591-0121-s_lc.fits
309402106,5,tess2018319095959-s0005-0000000309402106-0125-s_lc.fits
393491490,4,tess2018292075959-s0004-0000000393491490-0124-s_lc.fits
272187783,4,tess2018292075959-s0004-0000000272187783-0124-s_lc.fits
272468689,3,tess2018263035959-s0003-0000000272468689-0123-s_lc.fits
231282112,2,tess2018234235059-s0002-0000000231282112-0121-s_lc.fits
41226621,2,tess2018234235059-s0002-0000000041226621-0121-s_lc.fits
167123437,4,tess2018292075959-s0004-0000000167123437-0124-s_lc.fits
149573437,4,tess2018292075959-s0004-0000000149573437-0124-s_lc.fits
300039094,2,tess2018234235059-s0002-0000000300039094-0121-s_lc.fits
47482845,2,tess2018234235059-s0002-0000000047482845-0121-s_lc.fits
231865506,1,tess2018206045859-s0001-0000000231865506-0120-s_lc.fits
372852125,1,tess2018206045859-s0001-0000000372852125-0120-s_lc.fits
271554665,3,tess2018263035959-s0003-0000000271554665-0123-s_lc.fits
279740001,2,tess2018234235059-s0002-0000000279740001-0121-s_lc.fits
164775666,3,tess2018263035959-s0003-0000000164775666-0123-s_lc.fits
389320701,5,tess2018319095959-s0005-0000000389320701-0125-s_lc.fits
350479101,1,tess2018206045859-s0001-0000000350479101-0120-s_lc.fits
179369863,3,tess2018263035959-s0003-0000000179369863-0123-s_lc.fits
177238182,5,tess2018319095959-s0005-0000000177238182-0125-s_lc.fits
365301387,4,tess2018292075959-s0004-0000000365301387-0124-s_lc.fits
382626661,5,tess2018319095959-s0005-0000000382626661-0125-s_lc.fits
322512913,4,tess2018292075959-s0004-0000000322512913-0124-s_lc.fits
99769182,1,tess2018206045859-s0001-0000000099769182-0120-s_lc.fits
364425576,4,tess2018292075959-s0004-0000000364425576-0124-s_lc.fits
469967638,1,tess2018206045859-s0001-0000000469967638-0120-s_lc.fits
198006960,2,tess2018234235059-s0002-0000000198006960-0121-s_lc.fits
35724058,4,tess2018292075959-s0004-0000000035724058-0124-s_lc.fits
404484288,4,tess2018292075959-s0004-0000000404484288-0124-s_lc.fits
141212720,2,tess2018234235059-s0002-0000000141212720-0121-s_lc.fits
149930656,5,tess2018319095959-s0005-0000000149930656-0125-s_lc.fits
12359091,2,tess2018234235059-s0002-0000000012359091-0121-s_lc.fits
40335866,5,tess2018319095959-s0005-0000000040335866-0125-s_lc.fits
141531810,2,tess2018234235059-s0002-0000000141531810-0121-s_lc.fits
261746657,1,tess2018206045859-s0001-0000000261746657-0120-s_lc.fits
12470841,2,tess2018234235059-s0002-0000000012470841-0121-s_lc.fits
