tic_id,Sector,Filename
120960812,14,tess2019198215352-s0014-0000000120960812-0150-s_lc.fits
243187830,17,tess2019279210107-s0017-0000000243187830-0161-s_lc.fits
38510224,1,tess2018206045859-s0001-0000000038510224-0120-s_lc.fits
200807066,3,tess2018263035959-s0003-0000000200807066-0123-s_lc.fits
17005768,17,tess2019279210107-s0017-0000000017005768-0161-s_lc.fits
329864959,16,tess2019253231442-s0016-0000000329864959-0152-s_lc.fits
261867566,12,tess2019140104343-s0012-0000000261867566-0144-s_lc.fits
52368076,1,tess2018206045859-s0001-0000000052368076-0120-s_lc.fits
162362398,10,tess2019085135100-s0010-0000000162362398-0140-s_lc.fits
328350926,4,tess2018292075959-s0004-0000000328350926-0124-s_lc.fits
136916387,12,tess2019140104343-s0012-0000000136916387-0144-s_lc.fits
407126408,12,tess2019140104343-s0012-0000000407126408-0144-s_lc.fits
139198430,1,tess2018206045859-s0001-0000000139198430-0120-s_lc.fits
101955023,9,tess2019058134432-s0009-0000000101955023-0139-s_lc.fits
1129033,4,tess2018292075959-s0004-0000000001129033-0124-s_lc.fits
447283466,9,tess2019058134432-s0009-0000000447283466-0139-s_lc.fits
66818296,12,tess2019140104343-s0012-0000000066818296-0144-s_lc.fits
266980320,1,tess2018206045859-s0001-0000000266980320-0120-s_lc.fits
364107753,12,tess2019140104343-s0012-0000000364107753-0144-s_lc.fits
23434737,9,tess2019058134432-s0009-0000000023434737-0139-s_lc.fits
61538902,10,tess2019085135100-s0010-0000000061538902-0140-s_lc.fits
44797824,4,tess2018292075959-s0004-0000000044797824-0124-s_lc.fits
307111282,18,tess2019306063752-s0018-0000000307111282-0162-s_lc.fits
154618248,2,tess2018234235059-s0002-0000000154618248-0121-s_lc.fits
178709444,10,tess2019085135100-s0010-0000000178709444-0140-s_lc.fits
44631965,17,tess2019279210107-s0017-0000000044631965-0161-s_lc.fits
403224672,1,tess2018206045859-s0001-0000000403224672-0120-s_lc.fits
29960109,4,tess2018292075959-s0004-0000000029960109-0124-s_lc.fits
77044471,2,tess2018234235059-s0002-0000000077044471-0121-s_lc.fits
470381900,19,tess2019331140908-s0019-0000000470381900-0164-s_lc.fits
325680697,4,tess2018292075959-s0004-0000000325680697-0124-s_lc.fits
47316976,2,tess2018234235059-s0002-0000000047316976-0121-s_lc.fits
