# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Mon Oct 12 17:22:43 2020
#
# COLUMN toi:            TESS Object of Interest
# COLUMN tid:            TESS Input Catalog ID
# COLUMN tfopwg_disp:    TFOPWG Dispostion (CP | FP | KP | PC)
# COLUMN rastr:          RA [sexagesimal]
# COLUMN ra:             RA [deg]
# COLUMN decstr:         Dec [sexagesimal]
# COLUMN dec:            Dec [deg]
# COLUMN st_pmra:        PMRA [mas/yr]
# COLUMN st_pmraerr1:    PMRA Upper Unc [mas/yr]
# COLUMN st_pmraerr2:    PMRA Lower Unc [mas/yr]
# COLUMN st_pmralim:     PMRA Limit Flag
# COLUMN st_pmdec:       PMDec [mas/yr]
# COLUMN st_pmdecerr1:   PMDec Upper Unc [mas/yr]
# COLUMN st_pmdecerr2:   PMDec Lower Unc [mas/yr]
# COLUMN st_pmdeclim:    PMDec Limit Flag
# COLUMN pl_tranmid:     Planet Transit Midpoint Value [BJD]
# COLUMN pl_tranmiderr1: Planet Transit Midpoint Upper Unc [BJD]
# COLUMN pl_tranmiderr2: Planit Transit Midpoint Lower Unc [BJD]
# COLUMN pl_tranmidlim:  Planet Transit Midpoint Limit Flag
# COLUMN pl_orbper:      Planet Orbital Period Value [days]
# COLUMN pl_orbpererr1:  Planet Orbital Period Upper Unc [days]
# COLUMN pl_orbpererr2:  Planet Orbital Period Lower Unc [days]
# COLUMN pl_orbperlim:   Planet Orbital Period Limit Flag
# COLUMN pl_trandurh:    Planet Transit Duration Value [hours]
# COLUMN pl_trandurherr1: Planet Transit Duration Upper Unc [hours]
# COLUMN pl_trandurherr2: Planet Transit Duration Lower Unc [hours]
# COLUMN pl_trandurhlim: Planet Transit Duration Limit Flag
# COLUMN pl_trandep:     Planet Transit Depth Value [ppm]
# COLUMN pl_trandeperr1: Planet Transit Depth Upper Unc [ppm]
# COLUMN pl_trandeperr2: Planet Transit Depth Lower Unc [ppm]
# COLUMN pl_trandeplim:  Planet Transit Depth Limit Flag
# COLUMN pl_rade:        Planet Radius Value [R_Earth]
# COLUMN pl_radeerr1:    Planet Radius Upper Unc [R_Earth]
# COLUMN pl_radeerr2:    Planet Radius Lower Unc [R_Earth]
# COLUMN pl_radelim:     Planet Radius Limit Flag
# COLUMN pl_insol:       Planet Insolation Value [Earth flux]
# COLUMN pl_insolerr1:   Planet Insolation Upper Unc [Earth flux]
# COLUMN pl_insolerr2:   Planet Insolation Lower Unc [Earth flux]
# COLUMN pl_insollim:    Planet Insolation Limit Flag
# COLUMN pl_eqt:         Planet Equilibrium Temperature Value [K]
# COLUMN pl_eqterr1:     Planet Equilibrium Temperature Upper Unc [K]
# COLUMN pl_eqterr2:     Planet Equilibrium Temperature Lower Unc [K]
# COLUMN pl_eqtlim:      Planet Equilibrium Temperature Limit Flag
# COLUMN st_tmag:        TESS Magnitude
# COLUMN st_tmagerr1:    TESS Magnitude Upper Unc
# COLUMN st_tmagerr2:    TESS Magnitude Lower Unc
# COLUMN st_tmaglim:     TESS Magnitude Limit Flag
# COLUMN st_dist:        Stellar Distance [pc]
# COLUMN st_disterr1:    Stellar Distance Upper Unc [pc]
# COLUMN st_disterr2:    Stellar Distance Lower Unc [pc]
# COLUMN st_distlim:     Stellar Distance Limit Flag
# COLUMN st_teff:        Stellar Effective Temperature Value [K]
# COLUMN st_tefferr1:    Stellar Effective Termperature Upper Unc [K]
# COLUMN st_tefferr2:    Stellar Effecitve Temperature Lower Unc [K]
# COLUMN st_tefflim:     Stellar Effective Temperature Limit Flag
# COLUMN st_logg:        Stellar log(g) Value [cm/s**2]
# COLUMN st_loggerr1:    Stellar log(g) Upper Unc [cm/s**]
# COLUMN st_loggerr2:    Stellar log(g) Lower Unc [cm/s**2]
# COLUMN st_logglim:     Stellar log(g) Limit Flag
# COLUMN st_rad:         Stellar Radius Value [R_Sun]
# COLUMN st_raderr1:     Stellar Radius Upper Unc [R_Sun]
# COLUMN st_raderr2:     Stellar Radius Lower Unc [R_Sun]
# COLUMN st_radlim:      Stellar Radius Limit Flag
# COLUMN toi_created:    TOI Created Date
# COLUMN rowupdate:      Date Modified
#
toi,tid,tfopwg_disp,rastr,ra,decstr,dec,st_pmra,st_pmraerr1,st_pmraerr2,st_pmralim,st_pmdec,st_pmdecerr1,st_pmdecerr2,st_pmdeclim,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2,pl_tranmidlim,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_trandurh,pl_trandurherr1,pl_trandurherr2,pl_trandurhlim,pl_trandep,pl_trandeperr1,pl_trandeperr2,pl_trandeplim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,st_tmag,st_tmagerr1,st_tmagerr2,st_tmaglim,st_dist,st_disterr1,st_disterr2,st_distlim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_logg,st_loggerr1,st_loggerr2,st_logglim,st_rad,st_raderr1,st_raderr2,st_radlim,toi_created,rowupdate
1000.01,50365310,,07h29m25.85s,112.3577080,-12d41m45.46s,-12.6959600,-5.9640000,0.085,0.085,0,-0.0760000,0.072,0.072,0,2458493.3839800,0.003870,0.003870,0,2.1715300,0.0006800,0.0006800,0,1.9370000,0.2300000,0.2300000,0,720.0000000,1.4061200,1.4061200,0,5.5648000,0.3387440,0.3387440,0,6563.7500000,,,,2507.0000000,,,,9.6040000,0.013,0.013,0,485.7350000,11.9515000,11.9515000,0,10249.0000000,264.7000000,264.7000000,0,4.1900000,0.0700000,0.0700000,0,2.1700000,0.0700000,0.0700000,0,2019-03-26 13:55:15,2020-05-20 16:00:02
1001.01,88863718,,08h10m19.31s,122.5804650,-05d30m49.87s,-5.5138520,-4.9560000,0.102,0.102,0,-15.5550000,0.072,0.072,0,2458492.8389300,0.003560,0.003560,0,1.9321700,0.0005400,0.0005400,0,3.4470000,0.2430000,0.2430000,0,980.0000000,0.6983880,0.6983880,0,5.8020400,0.3189320,0.3189320,0,5753.0000000,,,,2426.0000000,,,,9.4234400,0.006,0.006,0,295.8620000,5.9100000,5.9100000,0,7070.0000000,126.4000000,126.4000000,0,4.0300000,0.0900000,0.0900000,0,2.0100000,0.0900000,0.0900000,0,2019-03-26 13:55:20,2020-05-20 16:00:02
1002.01,124709665,,06h58m54.47s,104.7269660,-10d34m49.64s,-10.5804550,-1.4620000,0.206,0.206,0,-2.2490000,0.206,0.206,0,2458492.6015600,0.001130,0.001130,0,1.8672200,0.0001600,0.0001600,0,1.9260000,0.1220000,0.1220000,0,1630.0000000,708.4100000,708.4100000,0,51.1665000,,,0,38023.4000000,,,,3890.0000000,,,,9.2995010,0.058,0.058,0,943.1090000,106.3330000,106.3330000,0,8924.0000000,124.0000000,124.0000000,0,,,,0,5.7300000,,,0,2019-03-26 13:55:09,2020-05-20 16:00:02
1003.01,106997505,FP,07h22m14.39s,110.5599450,-25d12m25.26s,-25.2070170,-0.9390000,0.041,0.041,0,1.6400000,0.055,0.055,0,2458493.3957520,0.005350,0.005350,0,2.7432300,0.0010800,0.0010800,0,3.1670000,0.6420000,0.6420000,0,383.4100040,0.7819880,0.7819880,0,,,,0,1177.3599850,,,,1631.0000000,,,,9.3003000,0.037,0.037,0,7728.1700000,1899.5700000,1899.5700000,0,5388.5000000,567.0000000,567.0000000,0,4.1500000,1.6400000,1.6400000,0,,,,0,2019-03-26 13:55:21,2019-12-17 10:00:02
1004.01,238597883,,08h08m42.77s,122.1781950,-48d48m10.12s,-48.8028110,-4.4960000,0.069,0.069,0,9.3470000,0.062,0.062,0,2458493.5119600,0.006530,0.006530,0,3.5749100,0.0014600,0.0014600,0,2.5760000,0.3460000,0.3460000,0,500.0000000,1.0796600,1.0796600,0,4.7527600,0.2797690,0.2797690,0,2929.8700000,,,,2049.0000000,,,,9.1355000,0.006,0.006,0,356.4370000,4.6175000,4.6175000,0,9219.0000000,171.1000000,171.1000000,0,4.1400000,0.0700000,0.0700000,0,2.1500000,0.0600000,0.0600000,0,2019-03-26 13:55:18,2020-05-20 16:00:02
1005.01,169904935,FP,08h02m49.15s,120.7048110,-11d06m05.45s,-11.1015130,-15.7000000,1.600,1.600,0,-34.7000000,1.500,1.500,0,2458492.5552000,0.001060,0.001060,0,4.5507200,0.0003300,0.0003300,0,2.5990000,0.2840000,0.2840000,0,3620.0000000,2.1771000,2.1771000,0,6.5444900,0.4571700,0.4571700,0,254.0500000,,,,1112.0000000,,,,9.0850000,0.019,0.019,0,119.0970000,,,0,5613.0000000,179.9000000,179.9000000,0,,,,0,1.0900000,0.0700000,0.0700000,0,2019-03-26 13:55:26,2020-05-20 16:00:02
1006.01,156115721,,08h17m26.22s,124.3592390,-27d16m24.68s,-27.2735210,-29.1000000,2.600,2.600,0,-6.8000000,2.200,2.200,0,2458493.6773600,0.002540,0.002540,0,2.5044300,0.0005000,0.0005000,0,3.1850000,0.6150000,0.6150000,0,1250.0000000,2.4199700,2.4199700,0,6.0832400,5.9083200,5.9083200,0,6874.3800000,,,,2536.0000000,,,,9.2386000,0.006,0.006,0,,,,0,6616.0000000,200.0000000,200.0000000,0,,,,0,1.5300000,1.4900000,1.4900000,0,2019-03-26 13:55:18,2020-05-20 16:00:02
1007.01,65212867,,07h31m00.57s,112.7523930,-04d27m48.09s,-4.4633590,0.3570000,0.058,0.058,0,3.3990000,0.045,0.045,0,2458492.0410200,0.001070,0.001070,0,6.9982300,0.0005800,0.0005800,0,4.3140000,0.4710000,0.4710000,0,2820.0000000,0.7598230,0.7598230,0,15.5416000,0.7886020,0.7886020,0,1414.3300000,,,,1708.0000000,,,,8.8775900,0.006,0.006,0,283.2910000,3.0025000,3.0025000,0,6596.0000000,139.2000000,139.2000000,0,3.7100000,0.0900000,0.0900000,0,2.7000000,0.1300000,0.1300000,0,2019-03-26 13:55:21,2020-05-20 16:00:02
1008.01,440801822,FP,07h17m31.88s,109.3828390,+13d23m42.79s,13.3952190,-17.9000000,1.100,1.100,0,1.3000000,1.000,1.000,0,2458492.5213620,0.005790,0.005790,0,2.0493600,0.0010500,0.0010500,0,2.2340000,0.4010000,0.4010000,0,249.5000000,0.5640340,0.5640340,0,1.7160700,0.3182380,0.3182380,0,2107.0500490,,,,1887.0000000,,,,8.9362000,0.012,0.012,0,144.2970000,,,0,6858.5000000,584.5999760,584.5999760,0,4.2000000,1.9000000,1.9000000,0,0.9900000,0.1800000,0.1800000,0,2019-03-26 13:55:18,2020-03-04 12:58:47
1009.01,107782586,,07h26m40.28s,111.6678450,-24d27m43.6s,-24.4621110,-3.2970000,0.319,0.319,0,4.8490000,0.358,0.358,0,2458492.2528500,0.001660,0.001660,0,1.9602200,0.0002600,0.0002600,0,1.6110000,0.3590000,0.3590000,0,1420.0000000,31.2109000,31.2109000,0,,,,0,15070.9000000,,,,3086.0000000,,,,8.4331000,0.028,0.028,0,866.1470000,172.0970000,172.0970000,0,8868.7000000,809.8000000,809.8000000,0,,,,0,,,,0,2019-03-26 13:55:17,2020-05-20 16:00:02
