rowid,TIC_ID,Probability,rowid_0,T0,Depth,Period,Period_Uncertainity,Duration,TMag,Teff,Radius,NumTransits,a,b,logg,rp_rs,DepthEven,DepthOdd,odd_even_mismatch,snr,sde,Mass,distance,lum,rho,Camera,CCD,RA,DEC,PMRA,PMDEC,PMTOTAL,MH,Disposition,Comments
0,138505004,9.149308425548954e-06,2496,1684.2663313013368,0.7005951903200709,1.1496216245057365,0.003391633060442989,2.8731214083759933,9.27754974,5865.0,1.71858001,21.0,0.3599,0.215,3.99343991,0.5027499779530539,0.6663326480763619,0.7862176209601823,22.92525198802629,2506.6865989905873,24.46944583259381,1.061,177.97400000000005,3.14852738,0.209028,4,4,157.51331057442601,61.811508594997704,18.1912,-1.84515,18.28453817,,,
1,219868560,5.201790109765625e-09,2501,1694.899468185668,0.9973191774003064,12.05809441993794,0.3124551513607994,22.09665814699656,11.27200031,5282.0,0.87115401,2.0,0.4036,0.2028,4.51500988,0.04721811935488061,0.9980858459169673,0.9972642021967582,4.681023677128752,30.16326681852958,7.931169862606492,0.906,185.991,0.532203853,1.37039,3,1,259.294737609783,68.1123537668581,-11.4716,31.3515,33.38434002,,,
2,157319730,8.631471667406622e-16,2505,1683.9943034927815,0.9994735584985076,12.37341980092219,inf,14.628985229780193,10.26840019,5451.0,0.75640702,2.0,0.3862,0.2061,4.65919018,0.020990180242768632,0.9995956131964552,0.9992935547986208,2.170781925497921,10.61831008433409,8.158681295381273,0.952,108.434,0.455103636,2.1997400000000003,4,4,180.078711152924,61.931169991353904,-67.8061,-127.55,144.45300169,,,
3,352239069,0.0016883915523067115,2511,1685.0626805012298,0.994399301648705,7.012416846545468,0.16952505549612162,14.705411583144267,10.94250011,6164.0,1.02658999,4.0,0.3216,0.2301,4.48494005,0.06917742916778545,0.994966119377797,0.9951052521649599,0.9015843693904588,67.7967362897115,8.336993918455166,1.1740000000000002,247.074,1.37069535,1.08511,2,1,292.196068887572,58.6147568214993,2.18912,1.72015,2.78409095,,PC,Low SNR; could be variability; young star
4,164646288,1.0533562090131454e-05,2514,1683.5997448288197,0.7945846646703993,0.7334486652115683,0.002174492037428588,1.991662138481692,10.50129986,7448.0,1.91086996,36.0,0.2683,0.2357,4.10860014,0.4230543204882311,0.8147099150447623,0.8145469650538175,0.0801727941148618,213.9534535942501,21.149212114704962,1.71,490.898,10.1231089,0.245079,2,3,283.909746848069,42.1310107931635,-0.11529,-6.06741,6.06850524,,,
5,271958272,1.279185562452767e-05,2517,1684.1289592491426,0.8757519569201142,0.7807350024094305,0.002363390240818441,1.7300499609064781,11.9137001,5892.41992188,1.47314,33.0,0.3599,0.215,4.13055992,0.32386756238938097,0.8898066099046078,0.8895698584277494,0.10219902964338176,55.25697640602807,14.888616973705131,1.069,488.038,2.356978,0.334386,2,4,295.716676227963,43.1646161983616,-5.9173,-6.06078,8.47038922,0.122775,,
6,120314690,2.5982805317015245e-12,2523,1683.8934170256491,0.9987109137842192,0.7020828173790677,0.0011715634876752756,0.4932187692353464,10.94379997,4319.0,0.68982899,36.0,0.4834,0.1895,4.59309006,0.032259228404129286,0.9989177749007692,0.998821691511478,0.4148469912589805,12.413664003326938,10.318358860376179,0.68,82.3295,0.149180114,2.0714900000000003,2,3,284.626509437733,38.9078849436612,88.064,11.359000000000002,88.79355256,,,
7,368185632,3.787642708630301e-05,2524,1683.6800880423425,0.9976710008631494,4.390780768773339,0.07094763817642312,7.639190303443103,9.94989967,4432.0,0.68542099,6.0,0.5098,0.1592,4.60500002,0.04326000970600916,0.9971092745984976,0.999529114677886,23.73530134381033,35.16053680653921,8.252131492136261,0.69,55.1016,0.16330836699999998,2.14278,4,2,160.175660459161,79.9758268968072,37.102,40.9985,55.29408111,,,
8,198555714,5.303645593812689e-05,2531,1684.0928373502115,0.99900983327367,12.109547559743982,inf,8.860710612698963,10.15880013,5544.0,1.26989996,2.0,0.3861,0.2114,4.2217598,0.028772302555181168,0.9995861265379512,0.9986895207151696,6.645838425845294,16.506700982106164,9.510356636380166,0.98,177.12900000000005,1.37253737,0.4785430000000001,3,4,238.075829499414,65.9433162913746,-54.5254,-95.0269,109.55880142,,,
9,243366614,4.769516757173272e-29,2534,1684.9062916307792,0.9831025316413003,12.483250735472474,0.20360430761162893,13.391985655967266,14.57900047,23800.0,0.243,3.0,0.1258,0.235,5.33895016,0.12460771916221365,0.9818556939888068,0.9943667732423418,3.1753578350528526,10.029952032297613,8.430720350081359,0.47,1557.02,17.0692749,32.7551,2,1,290.441223236688,57.39176447921479,-4.63283,-8.30078,9.50610659,,,
