rowid,TIC_ID,Probability,T0,Depth,Period,Period_Uncertainity,Duration,TMag,Teff,Radius,NumTransits,a,b,logg,rp_rs,DepthEven,DepthOdd,odd_even_mismatch,snr,sde,Mass,distance,lum,rho,Camera,CCD,RA,DEC,PMRA,PMDEC,PMTOTAL,MH,Disposition,Comments
0,335661214,0.21348483860492706,1871.4532882812973,0.9931516290990364,1.0818866961395377,0.009215083201077112,2.977250026822043,9.25253963,7071.0,1.58558,24.0,0.2961,0.2276,4.23221016,0.07689379140647129,0.9941220069267532,0.9936606186078744,2.5890072300078977,54.662685483990316,8.325043369685638,1.565,216.552,5.66232252,0.392599,3,4,217.299345788312,79.61631654049941,17.613,-19.3833,26.19026705,,,
1,456311127,4.267501608166967e-13,1870.6003221392264,0.9959690722686134,0.667531644685187,0.0008070381442742414,0.4555054566350138,10.86919975,7423.95996094,1.27289,40.0,0.2438,0.2464,4.45893002,0.05947949987668263,0.9962555550021212,0.9963837218151256,0.31327726973778464,20.08617808552453,12.504342391686919,1.7,388.701,4.43424,0.824282,2,3,134.27038759762502,49.264906938483,-28.8122,0.20952,28.8129618,-0.67299998,,
2,233169434,3.4540287296991323e-10,1871.0096832109448,0.995305846252687,0.6151119383959502,0.0009643412540613072,0.8314999900893111,9.17070007,7266.0,3.29017,43.0,0.276,0.2529,3.61846995,0.06375290598953849,0.995638757328471,0.9958760884252816,0.9258024124031912,29.116281977087922,10.322094598399053,1.64,451.47,27.1840115,0.0460456,3,3,215.17158908598597,68.4559524422608,7.60778,3.32062,8.30089355,,,
3,256321662,0.3009979128837585,1871.2725361422558,0.9995883435629146,4.80030277950946,0.03405976799801325,2.7552317771327126,10.01760006,6113.0,1.37919,6.0,0.3507,0.2158,4.22027016,0.01867425740789399,0.9996905470986354,0.9995503720765396,0.9682538828998614,7.453353808413378,7.866686342922683,1.152,203.898,2.39310241,0.439116,4,4,297.836654054849,65.93276434387201,36.9429,-28.8706,46.88591905,,,
4,88692888,0.0020783860236406326,1883.9140973675119,0.9995635897794092,13.672911502794127,inf,7.010055731897625,8.30889988,5995.0,1.03496,2.0,0.3345,0.2282,4.44961023,0.019265314573225358,0.9992696804381396,0.99982912721039,5.941489763685465,12.04984172095516,9.841680494568466,1.1,71.6742,1.24651563,0.992255,2,3,149.310675680173,45.9027892172505,-24.8082,-85.6884,89.20733536,,,
5,138580976,0.16884294152259827,1884.0980395537208,0.9986425196519676,13.670256292562375,inf,7.022727366765268,9.18939972,5163.0,1.15938,2.0,0.411,0.2061,4.24913979,0.03353917247633058,0.9981392444825006,0.999033444248814,4.912949874989444,17.27627241761409,7.177862022661289,0.87,91.5776,0.8605072,0.558267,2,1,176.077509070236,60.3220874748475,-10.0386,-109.753,110.211136,,,
6,67949277,0.023100441321730614,1870.9171443114096,0.9585210204106582,1.7855325257904446,0.005992274549212695,3.4185913769001384,7.19829988,8072.0,2.23438,15.0,0.2273,0.2465,4.03178978,0.19139529990134865,0.9608949887404592,0.9608325592239316,0.12771078334342964,378.0032711208355,26.66334589220611,1.959,141.282,19.0955276,0.175617,1,2,142.659638875812,44.7694062429267,-56.1955,-27.8544,62.72002726,,,
7,302606360,0.0274856798350811,1875.170542101903,0.99866300592824,11.747452103230627,0.12300798421867133,1.7123244819899814,10.10900021,5705.0,1.09621,2.0,0.371,0.2094,4.36517,0.033540891139740785,0.9987397764831032,0.9988194613923658,0.1544432850176284,8.437274129311067,8.181563137038442,1.016,157.181,1.146854,0.7712720000000001,1,3,136.807079025494,30.386150276505,-60.4997,-33.3326,69.07442307,,,
8,154486565,0.007923806086182594,1871.8145843327868,0.9993798206158884,6.030614301243314,0.1355507059847061,11.791301999217172,7.33039999,5232.97021484,1.26027,5.0,0.411,0.2061,4.18653011,0.022669619464031808,0.9993575555780432,0.9995875148700644,4.703109855317726,31.682468428178435,7.073571503546938,0.89,42.9474,1.07303464,0.444632,3,1,185.54890020180198,73.2484839940785,-455.486,184.174,491.31207849,-0.60000002,,
9,139418436,0.000197697154362686,1871.0519861015107,0.9984372384415948,1.0999918697779705,0.007310675500733388,2.7619614152092957,9.27680016,7316.54003906,1.63471,22.0,0.2683,0.2357,4.23129988,0.03689997425219367,0.9985647483877492,0.9985226703626754,0.399404460653295,31.440028935433954,7.469225790593763,1.66,236.313,6.8991704,0.380005,1,1,154.31931319241102,32.5291763706444,3.66418,-2.21184,4.28000599,0.26401699,,
