rowid,TIC_ID,Probability,T0,Depth,Period,Duration,TMag,Teff,Radius,NumTransits,a,b,logg,rp_rs,DepthEven,DepthOdd,snr,sde,Mass,distance,lum,rho,Camera,CCD,RA,DEC,PMRA,PMDEC,PMTOTAL,MH,Period_Uncertainity,odd_even_mismatch,Disposition,Comments
0,229676244,4.145066956340315e-09,1956.565246133037,0.9961765675106018,0.8479474746623169,0.8820948533517101,7.04784012,7207.0,3.00604,30.0,0.276,0.2529,3.69024992,0.057537109946063814,0.9964196975259592,0.9966295095437367,30.401431766520748,10.63842790604807,1.615,153.172,21.9636021,0.0594547,3,1,253.18289978899503,76.8526295102785,10.7429,17.2743,20.34235338,,0.0015276539525340134,0.82474808162317,,
1,236714379,0.86021888256073,1956.5714551146634,0.9976524504359364,1.0181531465609317,0.8509501640867572,10.79399967,5451.0,1.0933,22.0,0.3862,0.2061,4.33923006,0.04432497440485198,0.9977261278889688,0.9978770013131528,28.932703009620123,19.751062744877444,0.9520000000000001,199.039,0.9507767,0.728481,2,2,239.201612412213,65.8890079779549,-13.8642,-39.587,41.94456593,,0.002924431805261141,0.6634556187565714,PC,TOI 1254 under investigation; V-shaped; could be grazing; 2 stars in pixel; possible large-amplitude phase modulation
2,284925600,1.340229800916859e-06,1955.8494929072028,0.6516389690397395,0.6227274150825121,1.4923689269258889,10.68200016,6344.0,1.91884,38.0,0.3383,0.2164,3.97131991,0.5445303458201466,0.6154137222734644,0.7519824339677142,817.6055335247322,19.46360653371923,1.2570000000000001,374.469,5.37312031,0.17791700000000002,4,4,12.005420105792401,60.861704964050105,19.8834,-0.567577,19.89149917,,0.0017722785502363172,35.076001581465036,,
3,233058265,0.4542035460472107,1961.0460035456915,0.9911004631205864,9.218247034816613,2.6407394499649532,11.7329998,5952.0,1.50645,3.0,0.354,0.2157,4.11958981,0.0867724217526961,0.9882571483794894,1.0000540765123729,38.33929461596255,13.702953592265267,1.09,488.434,2.565987,0.318834,3,2,269.477568039894,64.06910241267279,-7.0746,-5.03431,8.6829858,,0.04592586892728523,15.204282475304144,,
4,259967623,0.0063302768394351006,1956.8589720316531,0.9988148968554488,4.599829174247111,6.66228823987896,8.75039959,7983.0,2.0276,6.0,0.2273,0.2465,4.10807991,0.032351566300729745,0.9990172052379542,0.9988379084744584,60.29213474396844,10.383046271974221,1.923,252.675,15.0425577,0.230694,3,3,319.002773162197,64.5367356885412,9.7872,2.85202,10.1942779,,0.06182406639204219,3.1801955413624214,,
5,233580483,1.984485152206616e-06,1956.357556063776,0.9920389504347804,0.6509009144927403,1.1002674126111454,14.31270027,3161.0,0.206109,39.0,0.1533,0.4776,5.05308008,0.0831897853528033,0.9938208911816476,0.9917597074715802,11.328026915488445,10.683669914353024,0.175068,54.5555,0.00382108428,19.9947,3,2,282.593928904241,61.5174578939153,-12.434,18.7787,22.5220765,,0.002144996861816129,1.1447346479220355,,
6,334063552,6.235148930500145e-07,1955.860377823528,0.9540811043271772,1.0582323515679828,2.904524475833206,14.26379967,2935.0,0.233035,24.0,0.1998,0.5387,5.01015997,0.19681957652764448,0.9604109080443184,0.9583386960985284,18.8928034783258,7.897478650211366,0.202736,52.9979,0.003630525,16.0202,4,2,330.251226415875,61.4705168667939,71.5521,20.1836,74.34433888,,0.009236714589513471,0.34004457223142665,,
7,359677968,0.00017348722030874342,1955.9022059016665,0.8923383745105525,0.6177244065528963,1.6944459618235816,7.01405001,6660.0,2.23423,42.0,0.3158,0.2206,3.88718009,0.3039244740870605,0.9045875716739752,0.9042810117865564,151.7938497215232,16.22872619462599,1.4040000000000001,100.355,8.848051,0.125888,3,2,280.940172256535,57.94814655631021,-38.0655,55.8783,67.61188284,,0.002503338426642909,0.4733595067726265,,
8,470121167,0.0032957266084849834,1956.406049923612,0.9330787935519248,9.273443513803473,8.270418463767099,12.4406004,4829.0,1.50492,3.0,0.4612,0.1879,3.97513008,0.2335325184955166,0.9181466775766718,0.9917408159937444,74.12810188691925,8.29521019713678,0.78,349.467,1.109565,0.22885,3,4,329.636638087178,80.3378128004487,9.64551,0.102739,9.64605715,,0.09271329015696406,29.91481169788123,,
9,255885607,1.915977691169246e-06,1955.859655392763,0.9945476015677426,0.8094842269334831,1.934791558671515,14.11639977,3072.0,0.185469,29.0,0.1606,0.4974,5.09152985,0.06861858013310318,0.9961924995593364,0.9941874485510048,12.374266223877143,8.275756868164532,0.154885,41.8308,0.00276008341,24.277,1,4,235.883602973731,26.766659641668,11.2413,25.461,27.83216389,,0.005394376907869147,1.843232462357961,,
