rowid,TIC_ID,Probability,Unnamed: 0,T0,Depth,Period,Period_Uncertainity,Duration,TMag,Teff,Radius,NumTransits,a,b,logg,rp_rs,DepthEven,DepthOdd,odd_even_mismatch,snr,sde,Mass,distance,lum,rho,Camera,CCD,RA,DEC,PMRA,PMDEC,PMTOTAL,MH,Disposition,Comments
0,92350408,0.8259237408638,2523,2037.5736093540256,0.9886312512784212,2.9570524949857835,0.017564594733431967,1.881623391374025,11.02760029,5652.0,1.62470996,8.0,0.3726,0.2129,4.01652002,0.09774123505403493,0.9908061610194016,0.9893849916569872,2.2275108410493765,50.729147304794225,11.063008725758383,1.0,332.471,2.426904,0.233172,1,3,313.651054710744,-33.1532201907174,5.80005,-14.7738,15.87153888,,,
1,299941037,0.3812688887119293,2530,2037.018184480668,0.9323231353511936,1.3191675441773467,0.0025048161523834045,0.9541516754351432,12.09759998,3427.0,0.54522097,13.0,0.1819,0.4364,4.69807005,0.242179740688902,0.9294166838960108,0.93722105022272,2.760770943543519,222.93889404617283,25.119598778831982,0.540936,75.443,0.03693995,3.33755,4,3,106.364803963523,-67.1555475378946,-3.32073,-27.464000000000002,27.66402978,,,
2,350933263,0.028591325506567955,2551,2046.522774134328,0.9995776091472408,11.324858665931261,0.1707735764014311,9.106960961659652,9.52019978,5555.0,0.96091598,2.0,0.3785,0.2075,4.46392012,0.01882794527233543,0.9996205370562152,0.9996459165495624,0.2214557097765996,9.510208373594297,10.182760038631127,0.98,100.545,0.792140245,1.10451,4,4,90.74925699002381,-59.4723154740913,17.8756,-14.092,22.76228326,,,
3,129277739,1.2691658834995678e-10,2566,2036.7827489421725,0.9773857730162472,0.6651523692739647,0.0010710833125047725,0.4918250706255816,9.36660004,7575.0,2.21690011,24.0,0.2353,0.2551,3.99208999,0.14099303610486552,0.9737910177294078,0.9810290829072874,7.598936753509138,24.228665875013185,11.893914797829616,1.76,346.31699999999995,14.5786924,0.161537,1,1,303.477115973436,-46.5564429841928,-6.1477,-15.085999999999999,16.29053748,,,
4,31743416,0.015071046538650991,2570,2036.3874423932355,0.9904195460381332,0.6226204139764557,0.0014277848364621648,0.9022000003808794,10.83290005,5659.75,1.06544995,36.0,0.371,0.2094,4.38732004,0.08978481671184788,0.9914818372126984,0.991313918008766,0.6225854701489487,127.29714521658329,24.184341806669273,1.01,210.008,1.04943085,0.8350569999999999,4,1,48.99573144284079,-67.519395033848,20.6267,-26.385,33.49072973,-0.04,,
5,272357134,0.4354255199432373,2597,2037.8299138431823,0.9816391447864048,4.197569614591621,0.014269787477239946,5.240061815482718,8.53629971,6538.95996094,2.30648994,6.0,0.3276,0.218,3.84249997,0.12525469552679447,0.9839231684727272,0.9838298023183688,0.3743958582180835,191.5361377302496,32.174793616781976,1.35,181.878,8.762589,0.110022,4,2,119.47963841111,-73.4730790949495,-0.49644399999999994,-9.31808,9.33129528,,,
6,325222244,7.226818020964268e-14,2616,2036.5047141252421,0.9994802579054792,0.6340682200539425,0.0008458653051254816,0.5137253857358075,8.6633997,7335.0,2.39447999,38.0,0.2683,0.2357,3.89974999,0.02128009926169992,0.9995489040504224,0.9994954871629836,0.7958444659565416,18.80644052451502,16.875920487817464,1.66,256.646,14.9526415,0.120913,3,2,317.531437347369,-75.3747415780775,28.8515,-22.1617,36.38062670000001,,,
7,317089497,1.8415685643091703e-10,2625,2036.6296407049995,0.9995982332149512,0.6601266530079226,0.0005946650312383395,0.44751619837445294,6.01599979,8213.0,1.99310005,36.0,0.2147,0.2467,4.14221001,0.01888105835187113,0.9996040027571228,0.9996408266592652,0.7374998588128158,14.882930464612011,15.01859845597538,2.01,75.1286,16.2839069,0.25387,3,2,347.099341347152,-79.4806882749928,92.7504,-35.708,99.38660858,,,
8,260708708,0.0010618825908750298,2696,2037.0826275292068,0.9794879541413428,0.9537963396200428,0.007441474087332478,2.4153002039237843,11.43089962,5470.0,0.87770599,21.0,0.3862,0.2061,4.53363991,0.13102241429061318,0.981151514603311,0.9825162544918878,4.361632431806648,38.71758516194326,10.770565327226608,0.96,206.44,0.621358454,1.41979,4,3,98.57077514011992,-58.225286284251005,-2.407,2.69422,3.61282028,,,
9,737163462,0.24969534575939176,2770,2038.378583586729,0.9853507081546022,11.155528954775596,inf,18.949241063052433,5.87050009,5833.0,1.48520994,2.0,0.3662,0.214,4.11568022,0.1110792969533493,1.001581053876634,0.9723183424852302,79.80503014292104,48.02616808145139,10.77730121018947,1.05,31.9241,2.30058,0.320499,4,3,96.1108432685523,-63.4290062004914,-17.3701,-87.1708,88.88458104,,,
