rowid,TIC_ID,Probability,Unnamed: 0,Unnamed: 0.1,T0,Depth,Period,Period_Uncertainity,Duration,TMag,Teff,Radius,NumTransits,a,b,logg,rp_rs,DepthEven,DepthOdd,odd_even_mismatch,snr,sde,Mass,distance,lum,rho,Camera,CCD,RA,DEC,PMRA,PMDEC,PMTOTAL,MH,Disposition,Comments
0,358460464,0.01681957207620144,476,476,2174.8813041294884,0.9998325341746096,1.0578545699489672,0.003164131644033841,1.335901161935719,8.72360039,6766.0,1.8656,23.0,0.3096,0.2225,4.05779982,0.011998881663943207,0.9998569098627808,0.9998378582451208,0.3935506282851352,8.91411500328624,9.618389227941222,1.45,181.31,6.57141638,0.223313,4,4,118.957804469116,-64.7100142946223,-14.3363,59.1237,60.83700682,,,
1,146420492,1.6620136875644673e-06,480,480,2174.5493788054832,0.9893707875237018,0.6774571368743183,0.003479807611596664,1.835468562740548,12.98939991,3287.0,0.372372,36.0,0.1529,0.4604,4.85240984,0.09629050858249186,0.9900347355255066,0.9907491281255444,1.7526741569698905,47.193260104186535,11.051139742977895,0.359994,63.5637,0.0145830233,6.972110000000002,2,1,75.0371062704012,-23.1932521605119,23.8592,-48.7331,54.26026594,,,
2,382157212,0.00015912785602267832,481,481,2174.263878400215,0.9867509445813584,0.8372600125598026,0.00501369610213126,2.2457967020033043,10.89620018,5096.0,1.05542,29.0,0.4244,0.1961,4.32571983,0.10460273618546163,0.9880210667427628,0.98879099952321,3.9342526917121603,50.303409542564296,12.507324851140373,0.86,175.489,0.67680186,0.731517,4,2,80.814742934813,-57.8500735958163,16.3751,102.87,104.16516116,,,
3,442956391,3.1711435440229245e-05,482,482,2174.4099122761886,0.9983238322984757,0.6607725057768955,0.003379023602655684,1.7772466643172533,10.25409985,7064.0,2.2299599999999997,37.0,0.2961,0.2276,3.93543005,0.03804138958081707,0.9983626653804738,0.9986182535807472,1.7078363849521845,26.610782062297147,8.571055288648111,1.5630000000000002,471.541,11.1555862,0.14095,2,3,81.12363431983859,-17.327777234171,3.81733,-5.36278,6.58266038,,,
4,350274840,0.7292148470878601,487,487,2174.4955092811388,0.9988021228509796,1.5949915150083305,0.009112942734810336,2.0112214484680333,11.682100300000002,6241.37988281,1.55578,16.0,0.3451,0.21600000000000005,4.13696003,0.03188977532501512,0.9991231249174352,0.9988352574391816,1.2379269150384828,12.19127494403593,12.568787682880695,1.21,514.13,3.30913019,0.321322,4,2,83.36776927454659,-58.7376075132064,1.3950799999999999,-7.742439999999999,7.86712307,-0.53834802,,
5,244242737,8.128390183159695e-10,495,495,2174.713852746558,0.9996169076885424,0.6349668220094343,0.0005310902667645667,0.435438541492905,9.38566971,7646.0,1.53347,38.0,0.2559,0.2329,4.31884003,0.0183178647973491,0.99957200461598,0.999619962322466,0.31001994340346994,7.820304130386564,9.919113464341716,1.787,243.885,7.240701,0.495566,1,2,73.9466536860803,-0.619707672302186,-0.235859,-0.695178,0.73409939,,,
6,372919010,0.01225251704454422,497,497,2174.9529432470968,0.9998044022660012,1.0309064091206153,0.008633313811136745,2.7527729343259995,9.26605034,7207.0,3.00025,24.0,0.276,0.2529,3.69192004,0.013013773395251484,0.9998240040636645,0.999821474800995,0.05604011598571255,11.134344248259811,7.896225111046008,1.615,313.81,21.8790722,0.0597996,1,4,66.0371249923159,11.5123890928619,2.62095,-7.517180000000001,7.96099077,,,
7,24626509,0.2887415289878845,498,498,2175.252492736673,0.9978458723497242,1.9351464478876537,0.029303804831279145,5.392963175047604,11.08090019,8130.0,1.6870599999999998,12.0,0.221,0.2358,4.28046989,0.04371250427566378,0.9980105460057854,0.9980436835324492,0.30535394921753656,44.77780506474425,8.253414837329537,1.98,635.798,11.20259,0.412357,3,1,84.2003476629482,-35.85005966538979,-6.12881,5.06602,7.9515326,,,
8,13137378,5.9479894459464705e-15,500,500,2174.6193152724645,0.9972466959913422,0.6358116073400154,0.0007997903061422451,0.4449926604423866,10.65130043,7557.0,1.70995,39.0,0.2353,0.2551,4.21513987,0.049196462157462574,0.9975267121079244,0.9974400624937678,0.3387156461476221,24.088941608399235,16.921465439030747,1.75,475.148,8.591267,0.350018,2,2,76.80220714802259,-23.9783641797429,7.626180000000001,5.5047,9.405335899999999,,,
9,245826372,0.10256105661392212,501,501,2174.454441713551,0.999234407528004,6.372259146166526,0.04570723496525364,1.6704352993978182,10.44250011,3749.0,0.617885,5.0,0.2315,0.3808,4.63616991,0.025650041923634948,0.9992284027878336,0.9994295877004444,0.7384144019663514,7.279365184532177,7.4592573090676355,0.602442,54.34067,0.06794723,2.55383,1,4,67.9322141938301,15.0410916141733,95.62,-18.79,97.44869676,,,
