config.tic,config.sector,trapFit.period_days,trapFit.epoch_bkjd,trapFit.duration_hrs,trapFit.snr,stellar.Teff,stellar.Rad,stellar.dis,planet.rad_earth,planet.sma_au,config.detrendType,disposition.fluxVet.not_trans_like,disposition.fluxVet.sig_sec,disposition.centroidVet.isCentroidFail,disposition.isCandidate,disposition.reasonForFail
389669796, 6,  8.470, 1476.537332,  2.289,323.39,5556.4,1.644, 138.1,  8.26, 0.081,    tess,	0, 0, 1, 0, Centroid offset probability is 1.0e+00
033521997, 6,  3.325, 1479.287347,  1.653,339.24,5394.0,1.283, 931.2, 17.31, 0.044,    tess,	0, 0, 1, 0, Centroid offset probability is 1.0e+00
374860586, 6,  2.933, 1479.373950,  1.708,295.82,5591.9,1.070, 219.7,  4.98, 0.040,    tess,	0, 0, 0, 1, None
264679887, 6,  6.914, 1482.659593,  2.630,522.18,5823.0,0.984, 150.5,  4.46, 0.071,    tess,	0, 0, 0, 1, None
141708335, 6,  4.762, 1480.986915,  2.204,540.71,3384.0,0.424,  48.8,  3.87, 0.041,    tess,	0, 0, 1, 0, Centroid offset probability is 1.0e+00
124199788, 6,  2.353, 1479.100517,  0.778,1445.56,3274.0,0.362,  27.2,  9.87, 0.024,    tess,	0, 1, 1, 0, ODD_EVEN_DIFF
220318793, 6,  1.388, 1479.656504,  0.811,228.03,3889.0,0.707, 210.0, 11.53, 0.021,    tess,	0, 1, 1, 0, ODD_EVEN_DIFF
247717818, 6,  0.739, 1479.932062,  0.944, 85.93,3094.0,0.214,  64.1,  3.61, 0.009,    tess,	0, 0, 1, 0, Centroid offset probability is 1.0e+00
265614546, 6,  5.133, 1479.136717,  1.661,991.41,3648.0,0.484, 129.6, 12.07, 0.046,    tess,	0, 1, 1, 0, SIG_SEC_IN_MODEL_SHIFT
120390724, 6,  3.789, 1480.033308,  1.910,304.91,3345.0,0.355,  67.0,  4.47, 0.033,    tess,	0, 1, 1, 0, SIG_SEC_IN_MODEL_SHIFT
167554898, 6,  4.452, 1479.834093,  3.204,4086.86,6209.0,2.068, 298.3, 17.72, 0.059,    tess,	0, 0, 0, 1, None
438071843, 6,  2.622, 1481.016978,  1.498,1279.26,6021.0,1.661, 419.3, 19.02, 0.039,    tess,	0, 1, 0, 0, ODD_EVEN_DIFF
350480660, 6,  4.460, 1480.093799,  3.059,6797.46,6100.8,1.219, 325.1, 21.50, 0.056,    tess,	0, 1, 0, 0, SIG_SEC_IN_MODEL_SHIFT
048880872, 6,  2.188, 1480.587010,  2.464,637.08,3160.0,0.419, 105.2,  6.41, 0.025,    tess,	0, 1, 1, 0, SIG_SEC_IN_MODEL_SHIFT
143117999, 6,  5.705, 1481.516381,  2.028,531.54,6229.8,2.199,  91.5,  6.21, 0.066,    tess,	0, 1, 0, 0, SIG_SEC_IN_MODEL_SHIFT
020095466, 6,  0.635, 1479.495282,  0.402, 63.29,6039.0,0.981, 114.6,  3.44, 0.015,    tess,	1, 1, 1, 0, SIG_SEC_IN_MODEL_SHIFT-LPP_TOO_HIGH
235347273, 6,  4.263, 1478.238325,  2.211,277.15,3170.0,0.227, 120.4,  4.33, 0.030, nigraha,	0, 0, 1, 0, Centroid offset probability is 1.0e+00
306580215, 6,  1.748, 1480.153147,  1.590,607.45,6087.0,1.308, 300.6,  7.92, 0.029,    tess,	0, 1, 1, 0, ODD_EVEN_DIFF
234568639, 6,  1.130, 1479.306853,  2.359,154.24,3433.0,0.441,  96.5,  2.21, 0.016,    tess,	0, 0, 1, 0, Centroid offset probability is 1.0e+00
235125815, 6,  2.423, 1478.736603,  1.459,173.90,3250.0,0.338, 131.4,  6.49, 0.024,    tess,	0, 0, 0, 1, None
046627823, 6,  6.011, 1482.525314,  4.679,7933.70,6324.0,1.638, 414.5, 21.82, 0.069,    tess,	0, 0, 0, 1, None
302762322, 6, 10.294, 1478.560365,  4.193,3272.78,5354.0,0.844,  35.8,  4.13, 0.090, nigraha,	0, 1, 0, 0, ODD_EVEN_DIFF
